Chatham Lodging Trust (REIT) PE Ratio Historical Data,Chatham Lodging Trust (REIT) PE Ratio Historical Data,Chatham Lodging Trust (REIT) PE Ratio Historical Data,Chatham Lodging Trust (REIT) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.64,,0.0
2024-12-31,8.95,$-0.08,0.0
2024-09-30,8.52,$-0.23,0.0
2024-06-30,8.45,$-0.17,0.0
2024-03-31,9.95,$-0.12,0.0
2023-12-31,10.47,$-0.11,0.0
2023-09-30,9.29,$0.04,232.27
2023-06-30,9.02,$0.14,64.44
2023-03-31,10.04,$0.14,71.68
2022-12-31,11.66,$0.05,233.16
2022-09-30,9.32,$-0.14,0.0
2022-06-30,9.87,$-0.42,0.0
2022-03-31,13.03,$-0.75,0.0
2021-12-31,12.96,$-0.46,0.0
2021-09-30,11.57,$-0.26,0.0
2021-06-30,12.16,$-0.57,0.0
2021-03-31,12.43,$-0.96,0.0
2020-12-31,10.2,$-1.61,0.0
2020-09-30,7.2,$-1.59,0.0
2020-06-30,5.78,$-1.00,0.0
2020-03-31,5.61,$-0.23,0.0
2019-12-31,17.08,$0.39,43.8
2019-09-30,16.6,$0.43,38.61
2019-06-30,16.94,$0.53,31.97
2019-03-31,16.98,$0.62,27.39
2018-12-31,15.35,$0.65,23.61
2018-09-30,17.92,$0.78,22.98
2018-06-30,17.93,$0.83,21.6
2018-03-31,15.92,$0.67,23.76
2017-12-31,18.61,$0.73,25.49
2017-09-30,17.17,$0.68,25.26
2017-06-30,15.93,$0.66,24.13
2017-03-31,15.4,$0.84,18.33
2016-12-31,15.76,$0.80,19.7
2016-09-30,14.51,$0.85,17.08
2016-06-30,16.32,$0.88,18.54
2016-03-31,15.67,$0.90,17.41
2015-12-31,14.68,$0.86,17.07
2015-09-30,15.19,$0.58,26.19
2015-06-30,18.48,$0.52,35.55
2015-03-31,20.32,$2.61,7.79
2014-12-31,19.81,$2.50,7.93
2014-09-30,15.65,$2.65,5.9
2014-06-30,14.69,$2.45,6.0
2014-03-31,13.41,$0.14,95.81
2013-12-31,13.43,$0.11,122.08
2013-09-30,11.61,$-0.06,0.0
2013-06-30,11.04,$-0.07,0.0
2013-03-31,11.18,$-0.10,0.0
2012-12-31,9.64,$-0.13,0.0
2012-09-30,8.59,$-0.40,0.0
2012-06-30,8.71,$-0.57,0.0
2012-03-31,7.63,$-0.79,0.0
2011-12-31,6.4,$-0.66,0.0
2011-09-30,5.79,$-0.21,0.0
2011-06-30,9.24,$-0.17,0.0
2011-03-31,9.21,$-0.12,0.0
