Phibro Animal Health PE Ratio Historical Data,Phibro Animal Health PE Ratio Historical Data,Phibro Animal Health PE Ratio Historical Data,Phibro Animal Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.81,,45.44
2024-12-31,21.0,$0.48,43.75
2024-09-30,22.41,$0.43,52.11
2024-06-30,16.58,$0.06,276.4
2024-03-31,12.7,$0.32,39.68
2023-12-31,11.27,$0.36,31.31
2023-09-30,12.28,$0.51,24.07
2023-06-30,13.05,$0.81,16.12
2023-03-31,14.47,$0.71,20.38
2022-12-31,12.57,$0.90,13.97
2022-09-30,12.33,$1.15,10.73
2022-06-30,17.61,$1.21,14.55
2022-03-31,18.25,$1.45,12.59
2021-12-31,18.57,$1.31,14.18
2021-09-30,19.49,$1.20,16.24
2021-06-30,26.0,$1.34,19.4
2021-03-31,21.87,$1.06,20.63
2020-12-31,17.31,$1.09,15.88
2020-09-30,15.42,$1.06,14.55
2020-06-30,23.14,$0.82,28.22
2020-03-31,21.19,$0.90,23.55
2019-12-31,21.67,$0.94,23.05
2019-09-30,18.53,$1.01,18.34
2019-06-30,27.43,$1.35,20.32
2019-03-31,28.38,$1.68,16.89
2018-12-31,27.54,$1.80,15.3
2018-09-30,36.61,$1.61,22.74
2018-06-30,39.21,$1.60,24.51
2018-03-31,33.73,$1.43,23.59
2017-12-31,28.39,$1.53,18.56
2017-09-30,31.31,$1.70,18.42
2017-06-30,31.22,$1.62,19.27
2017-03-31,23.61,$1.62,14.57
2016-12-31,24.53,$1.49,16.46
2016-09-30,22.68,$1.90,11.93
2016-06-30,15.51,$2.06,7.53
2016-03-31,22.36,$1.94,11.52
2015-12-31,24.82,$1.97,12.6
2015-09-30,25.98,$1.61,16.14
2015-06-30,31.89,$1.66,19.21
2015-03-31,28.92,$0.93,31.09
