Essent Group PE Ratio Historical Data,Essent Group PE Ratio Historical Data,Essent Group PE Ratio Historical Data,Essent Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,55.85,,8.17
2024-12-31,54.44,$6.84,7.96
2024-09-30,63.98,$6.90,9.27
2024-06-30,55.67,$6.91,8.06
2024-03-31,58.96,$6.61,8.92
2023-12-31,51.99,$6.50,8.0
2023-09-30,46.38,$6.23,7.44
2023-06-30,45.67,$6.23,7.33
2023-03-31,38.87,$6.78,5.73
2022-12-31,37.5,$7.71,4.86
2022-09-30,33.44,$7.98,4.19
2022-06-30,37.1,$8.16,4.55
2022-03-31,39.11,$7.42,5.27
2021-12-31,43.01,$6.11,7.04
2021-09-30,41.38,$5.57,7.43
2021-06-30,42.1,$4.84,8.7
2021-03-31,44.33,$3.57,12.42
2020-12-31,40.17,$3.88,10.35
2020-09-30,34.29,$4.27,8.03
2020-06-30,33.45,$4.63,7.23
2020-03-31,24.18,$5.87,4.12
2019-12-31,47.54,$5.65,8.41
2019-09-30,43.47,$5.47,7.95
2019-06-30,42.71,$5.18,8.25
2019-03-31,39.5,$4.93,8.01
2018-12-31,31.07,$4.76,6.53
2018-09-30,40.22,$5.10,7.89
2018-06-30,32.56,$4.74,6.87
2018-03-31,38.69,$4.37,8.85
2017-12-31,39.47,$3.96,9.97
2017-09-30,36.81,$2.99,12.31
2017-06-30,33.76,$2.82,11.97
2017-03-31,32.88,$2.62,12.55
2016-12-31,29.42,$2.42,12.16
2016-09-30,24.19,$2.22,10.9
2016-06-30,19.83,$2.01,9.86
2016-03-31,18.91,$1.85,10.22
2015-12-31,19.9,$1.71,11.64
2015-09-30,22.59,$1.56,14.48
2015-06-30,24.86,$1.41,17.63
2015-03-31,21.73,$1.23,17.67
2014-12-31,23.37,$1.03,22.69
2014-09-30,19.46,$0.92,21.15
