SigmaTron PE Ratio Historical Data,SigmaTron PE Ratio Historical Data,SigmaTron PE Ratio Historical Data,SigmaTron PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.2,,0.0
2025-01-31,1.61,$-2.64,0.0
2024-10-31,2.69,$-2.54,0.0
2024-07-31,3.35,$-0.99,0.0
2024-04-30,4.24,$-0.41,0.0
2024-01-31,3.18,$0.18,17.67
2023-10-31,2.97,$-3.72,0.0
2023-07-31,5.96,$-3.58,0.0
2023-04-30,2.32,$-3.40,0.0
2023-01-31,3.76,$-3.34,0.0
2022-10-31,4.73,$-0.12,0.0
2022-07-31,7.0,$0.43,16.28
2022-04-30,6.66,$2.23,2.99
2022-01-31,8.17,$2.49,3.28
2021-10-31,8.8,$3.13,2.81
2021-07-31,6.06,$2.59,2.34
2021-04-30,5.11,$0.36,14.19
2021-01-31,5.08,$-0.09,0.0
2020-10-31,3.21,$-0.20,0.0
2020-07-31,3.1,$-0.20,0.0
2020-04-30,2.95,$0.10,29.5
2020-01-31,4.0,$0.42,9.52
2019-10-31,4.18,$0.33,12.67
2019-07-31,4.23,$0.01,0.0
2019-04-30,2.74,$-0.20,0.0
2019-01-31,2.66,$-1.47,0.0
2018-10-31,4.25,$-1.32,0.0
2018-07-31,6.99,$-0.98,0.0
2018-04-30,6.78,$-0.77,0.0
2018-01-31,9.02,$0.57,15.83
2017-10-31,9.61,$0.55,17.47
2017-07-31,8.36,$0.39,21.44
2017-04-30,5.41,$0.33,16.39
2017-01-31,4.51,$0.04,112.63
2016-10-31,5.26,$0.10,52.61
2016-07-31,5.88,$0.36,16.34
2016-04-30,6.15,$0.49,12.55
2016-01-31,6.6,$0.52,12.69
2015-10-31,6.62,$0.61,10.85
2015-07-31,6.45,$0.38,16.97
2015-04-30,8.05,$0.22,36.6
2015-01-31,5.82,$0.28,20.79
2014-10-31,7.0,$0.32,21.88
2014-07-31,11.14,$0.47,23.7
2014-04-30,10.32,$0.71,14.54
2014-01-31,9.34,$0.69,13.54
2013-10-31,5.21,$0.45,11.58
2013-07-31,4.18,$0.38,11.0
2013-04-30,4.13,$0.12,34.42
2013-01-31,5.15,$0.21,24.52
2012-10-31,4.53,$0.29,15.62
2012-07-31,3.49,$0.21,16.62
2012-04-30,3.77,$0.29,13.0
2012-01-31,3.73,$0.19,19.63
2011-10-31,3.74,$0.24,15.58
2011-07-31,4.8,$0.35,13.71
2011-04-30,5.29,$0.51,10.37
2011-01-31,7.26,$0.88,8.25
2010-10-31,5.58,$0.92,6.07
2010-07-31,5.32,$0.90,5.91
2010-04-30,6.13,$0.57,10.75
2010-01-31,5.91,$0.17,34.76
2009-10-31,3.3,$-0.01,0.0
