Xponential Fitness PE Ratio Historical Data,Xponential Fitness PE Ratio Historical Data,Xponential Fitness PE Ratio Historical Data,Xponential Fitness PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.72,,0.0
2024-12-31,13.45,$-0.88,0.0
2024-09-30,12.4,$-1.16,0.0
2024-06-30,15.6,$-0.95,0.0
2024-03-31,16.54,$-0.57,0.0
2023-12-31,12.89,$-1.65,0.0
2023-09-30,15.5,$-2.50,0.0
2023-06-30,17.25,$-3.95,0.0
2023-03-31,30.39,$-3.54,0.0
2022-12-31,22.93,$-3.67,0.0
2022-09-30,18.26,$-4.99,0.0
2022-06-30,12.56,$-3.84,0.0
