Paramount Global PE Ratio Historical Data,Paramount Global PE Ratio Historical Data,Paramount Global PE Ratio Historical Data,Paramount Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.93,,0.0
2024-12-31,10.46,$-9.32,0.0
2024-09-30,10.57,$-8.22,0.0
2024-06-30,10.29,$-7.79,0.0
2024-03-31,11.6,$-0.15,0.0
2023-12-31,14.51,$-1.02,0.0
2023-09-30,12.62,$-1.78,0.0
2023-06-30,15.51,$-1.88,0.0
2023-03-31,21.68,$-0.78,0.0
2022-12-31,16.21,$1.60,10.13
2022-09-30,18.06,$4.70,3.84
2022-06-30,23.16,$5.17,4.48
2022-03-31,35.14,$6.11,5.75
2021-12-31,27.86,$6.91,4.03
2021-09-30,36.18,$5.11,7.08
2021-06-30,41.14,$5.31,7.75
2021-03-31,40.82,$4.53,9.01
2020-12-31,33.64,$3.93,8.56
2020-09-30,25.11,$2.20,11.42
2020-06-30,20.74,$2.05,10.12
2020-03-31,12.33,$2.44,5.05
2019-12-31,36.41,$5.81,6.27
2019-09-30,34.82,$7.72,4.51
2019-06-30,42.87,$8.16,5.25
2019-03-31,40.68,$8.04,5.06
2018-12-31,37.28,$5.15,7.24
2018-09-30,48.81,$3.56,13.71
2018-06-30,47.62,$3.73,12.77
2018-03-31,43.37,$2.82,15.38
2017-12-31,49.63,$0.89,55.76
2017-09-30,48.63,$0.73,66.62
2017-06-30,53.32,$0.34,156.82
2017-03-31,57.81,$1.13,51.16
2016-12-31,52.89,$2.76,19.16
2016-09-30,45.38,$3.57,12.71
2016-06-30,44.98,$3.38,13.31
2016-03-31,45.39,$3.12,14.55
2015-12-31,38.72,$2.88,13.44
2015-09-30,32.68,$3.12,10.47
2015-06-30,45.3,$5.27,8.6
2015-03-31,49.36,$5.36,9.21
2014-12-31,44.94,$5.36,8.38
2014-09-30,43.32,$5.33,8.13
2014-06-30,50.19,$3.10,16.19
2014-03-31,49.82,$3.10,16.07
2013-12-31,51.29,$3.01,17.04
2013-09-30,44.3,$2.85,15.54
2013-06-30,39.16,$2.65,14.78
2013-03-31,37.32,$2.54,14.69
2012-12-31,30.33,$2.39,12.69
2012-09-30,28.87,$2.34,12.34
2012-06-30,25.96,$2.24,11.59
2012-03-31,26.77,$2.17,12.34
2011-12-31,21.36,$1.92,11.12
2011-09-30,15.98,$1.78,8.98
2011-06-30,22.24,$1.74,12.78
2011-03-31,19.47,$1.38,14.11
2010-12-31,14.78,$1.05,14.08
2010-09-30,12.27,$0.73,16.81
2010-06-30,9.97,$0.57,17.5
2010-03-31,10.71,$0.37,28.95
2009-12-31,10.76,$0.33,32.6
