Digimarc PE Ratio Historical Data,Digimarc PE Ratio Historical Data,Digimarc PE Ratio Historical Data,Digimarc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.3,,0.0
2024-12-31,37.45,$-1.83,0.0
2024-09-30,26.88,$-1.95,0.0
2024-06-30,31.01,$-1.98,0.0
2024-03-31,27.18,$-2.08,0.0
2023-12-31,36.12,$-2.28,0.0
2023-09-30,32.49,$-2.38,0.0
2023-06-30,29.44,$-2.61,0.0
2023-03-31,19.65,$-2.83,0.0
2022-12-31,18.49,$-3.16,0.0
2022-09-30,13.55,$-3.04,0.0
2022-06-30,14.14,$-2.45,0.0
2022-03-31,26.37,$-2.64,0.0
2021-12-31,39.48,$-2.11,0.0
2021-09-30,34.44,$-2.88,0.0
2021-06-30,33.5,$-3.39,0.0
2021-03-31,29.66,$-3.07,0.0
2020-12-31,47.24,$-3.31,0.0
2020-09-30,22.33,$-2.77,0.0
2020-06-30,15.99,$-2.74,0.0
2020-03-31,13.05,$-2.80,0.0
2019-12-31,33.56,$-2.80,0.0
2019-09-30,39.09,$-2.77,0.0
2019-06-30,44.39,$-2.85,0.0
2019-03-31,31.38,$-2.88,0.0
2018-12-31,14.5,$-2.86,0.0
2018-09-30,31.45,$-2.92,0.0
2018-06-30,26.8,$-2.58,0.0
2018-03-31,23.95,$-2.55,0.0
2017-12-31,36.15,$-2.44,0.0
2017-09-30,36.6,$-2.25,0.0
2017-06-30,40.15,$-2.41,0.0
2017-03-31,27.0,$-2.35,0.0
2016-12-31,30.0,$-2.38,0.0
2016-09-30,38.35,$-2.43,0.0
2016-06-30,31.96,$-2.42,0.0
2016-03-31,30.3,$-2.30,0.0
2015-12-31,36.51,$-2.18,0.0
2015-09-30,30.55,$-2.79,0.0
2015-06-30,45.14,$-2.53,0.0
2015-03-31,21.95,$-2.41,0.0
2014-12-31,27.15,$-2.18,0.0
2014-09-30,20.71,$-1.14,0.0
2014-06-30,32.6,$-0.98,0.0
2014-03-31,31.29,$-0.52,0.0
2013-12-31,19.12,$-0.10,0.0
2013-09-30,19.95,$0.23,86.75
2013-06-30,20.41,$0.49,41.65
2013-03-31,21.49,$0.58,37.06
2012-12-31,20.15,$1.15,17.52
2012-09-30,21.55,$1.07,20.14
2012-06-30,24.73,$1.02,24.24
2012-03-31,26.81,$1.35,19.86
2011-12-31,22.92,$0.77,29.77
2011-09-30,24.35,$1.06,22.97
2011-06-30,33.61,$0.76,44.22
2011-03-31,27.73,$0.13,213.3
2010-12-31,28.79,$0.52,55.37
2010-09-30,22.51,$0.09,250.1
2010-06-30,17.99,$0.20,89.95
2010-03-31,16.57,$0.23,72.04
2009-12-31,14.38,$-0.39,0.0
