"CONCRETE PUMPING HOLDINGS, INC PE Ratio Historical Data","CONCRETE PUMPING HOLDINGS, INC PE Ratio Historical Data","CONCRETE PUMPING HOLDINGS, INC PE Ratio Historical Data","CONCRETE PUMPING HOLDINGS, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.79,,17.03
2025-01-31,8.46,$0.34,24.88
2024-10-31,5.55,$0.26,21.35
2024-07-31,6.67,$0.26,25.65
2024-04-30,6.65,$0.31,21.45
2024-01-31,7.72,$0.35,22.06
2023-10-31,7.03,$0.54,13.02
2023-07-31,8.07,$0.52,15.52
2023-04-30,6.95,$0.58,11.98
2023-01-31,8.14,$0.59,13.8
2022-10-31,6.41,$0.49,13.07
2022-07-31,6.53,$0.40,16.33
2022-04-30,5.58,$0.23,24.26
2022-01-31,8.21,$-0.08,0.0
2021-10-31,8.6,$-0.33,0.0
2021-07-31,8.7,$-0.43,0.0
2021-04-30,8.13,$-0.46,0.0
2021-01-31,5.46,$-1.38,0.0
2020-10-31,3.23,$-1.20,0.0
2020-07-31,3.74,$-1.15,0.0
2020-04-30,2.84,$-1.14,0.0
2020-01-31,5.1,$-0.36,0.0
2019-10-31,3.44,$-0.21,0.0
2019-07-31,4.05,$-0.21,0.0
