Power Integrations PE Ratio Historical Data,Power Integrations PE Ratio Historical Data,Power Integrations PE Ratio Historical Data,Power Integrations PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,55.59,,97.53
2024-12-31,61.7,$0.57,108.25
2024-09-30,63.92,$0.66,96.84
2024-06-30,69.76,$0.75,93.01
2024-03-31,70.92,$0.92,77.09
2023-12-31,81.16,$0.97,83.67
2023-09-30,75.23,$1.12,67.17
2023-06-30,93.12,$1.58,58.94
2023-03-31,83.08,$2.28,36.44
2022-12-31,70.23,$2.93,23.97
2022-09-30,62.84,$3.19,19.7
2022-06-30,73.1,$3.08,23.73
2022-03-31,90.13,$2.80,32.19
2021-12-31,90.16,$2.68,33.64
2021-09-30,95.94,$2.47,38.84
2021-06-30,79.44,$2.02,39.32
2021-03-31,78.75,$1.56,50.48
2020-12-31,79.0,$1.18,67.23
2020-09-30,53.38,$3.37,15.86
2020-06-30,56.8,$3.41,16.66
2020-03-31,42.39,$3.38,12.56
2019-12-31,47.36,$3.24,14.64
2019-09-30,43.22,$0.98,44.1
2019-06-30,38.24,$0.99,38.63
2019-03-31,33.27,$1.06,31.39
2018-12-31,28.94,$1.17,24.84
2018-09-30,30.0,$0.50,60.6
2018-06-30,34.6,$0.47,73.61
2018-03-31,32.3,$0.45,72.59
2017-12-31,34.68,$0.45,77.06
2017-09-30,34.45,$0.97,35.7
2017-06-30,34.24,$0.94,36.62
2017-03-31,30.82,$0.90,34.43
2016-12-31,31.74,$0.81,39.18
2016-09-30,29.43,$0.80,36.78
2016-06-30,23.32,$0.76,30.89
2016-03-31,23.07,$0.71,32.49
2015-12-31,22.53,$0.67,33.88
2015-09-30,19.49,$0.69,28.45
2015-06-30,20.82,$0.75,27.75
2015-03-31,23.94,$0.88,27.36
2014-12-31,23.73,$0.97,24.47
2014-09-30,24.67,$0.99,24.92
2014-06-30,26.27,$1.00,26.27
2014-03-31,29.98,$0.96,31.39
2013-12-31,25.4,$0.94,27.02
2013-09-30,24.6,$0.85,29.12
2013-06-30,18.4,$-0.20,0.0
2013-03-31,19.65,$-0.55,0.0
2012-12-31,15.19,$-0.61,0.0
2012-09-30,13.74,$-0.66,0.0
2012-06-30,16.8,$0.24,71.5
2012-03-31,16.7,$0.54,31.22
2011-12-31,14.9,$0.58,25.91
2011-09-30,13.73,$0.62,22.33
2011-06-30,17.22,$0.71,24.42
2011-03-31,17.15,$0.80,21.57
2010-12-31,17.94,$0.84,21.36
2010-09-30,14.19,$0.85,16.69
2010-06-30,14.34,$0.80,18.04
2010-03-31,18.33,$0.61,30.04
2009-12-31,16.15,$0.41,39.88
