H&E Equipment Services PE Ratio Historical Data,H&E Equipment Services PE Ratio Historical Data,H&E Equipment Services PE Ratio Historical Data,H&E Equipment Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,95.08,,28.21
2024-12-31,48.96,$3.37,14.53
2024-09-30,48.46,$3.94,12.3
2024-06-30,43.71,$4.44,9.85
2024-03-31,63.15,$4.67,13.52
2023-12-31,51.22,$4.67,10.97
2023-09-30,42.02,$4.61,9.11
2023-06-30,44.24,$4.31,10.27
2023-03-31,42.46,$3.89,10.91
2022-12-31,43.35,$3.63,11.94
2022-09-30,26.88,$3.67,7.32
2022-06-30,27.27,$3.43,7.95
2022-03-31,40.64,$3.14,12.94
2021-12-31,41.07,$2.80,14.67
2021-09-30,32.01,$0.95,33.7
2021-06-30,30.43,$0.42,72.45
2021-03-31,34.5,$0.23,150.01
2020-12-31,26.83,$-0.91,0.0
2020-09-30,17.52,$0.10,175.23
2020-06-30,16.26,$0.61,26.65
2020-03-31,12.71,$1.00,12.71
2019-12-31,28.61,$2.43,11.77
2019-09-30,24.5,$2.52,9.72
2019-06-30,24.41,$2.32,10.52
2019-03-31,20.85,$2.27,9.19
2018-12-31,16.79,$2.13,7.88
2018-09-30,30.68,$3.83,8.01
2018-06-30,30.29,$3.48,8.7
2018-03-31,30.77,$3.18,9.68
2017-12-31,32.26,$3.07,10.51
2017-09-30,22.99,$1.02,22.54
2017-06-30,15.89,$1.11,14.31
2017-03-31,18.83,$1.04,18.1
2016-12-31,17.65,$1.05,16.81
2016-09-30,12.53,$1.04,12.05
2016-06-30,13.99,$1.13,12.38
2016-03-31,12.7,$1.25,10.16
2015-12-31,12.39,$1.26,9.83
2015-09-30,11.67,$1.39,8.4
2015-06-30,13.71,$1.40,9.79
2015-03-31,16.98,$1.52,11.17
2014-12-31,18.87,$1.56,12.1
2014-09-30,26.88,$1.50,17.92
2014-06-30,24.1,$1.47,16.39
2014-03-31,26.82,$1.33,20.17
2013-12-31,19.65,$1.26,15.59
2013-09-30,17.61,$1.16,15.18
2013-06-30,13.97,$0.87,16.06
2013-03-31,13.53,$0.86,15.73
2012-12-31,9.99,$0.83,12.04
2012-09-30,8.04,$0.75,10.72
2012-06-30,6.5,$0.78,8.33
2012-03-31,8.18,$0.56,14.61
2011-12-31,5.8,$0.26,22.33
2011-09-30,3.57,$-0.04,0.0
2011-06-30,6.05,$-0.29,0.0
2011-03-31,8.45,$-0.57,0.0
2010-12-31,5.0,$-0.73,0.0
2010-09-30,3.45,$-1.01,0.0
2010-06-30,3.24,$-0.97,0.0
2010-03-31,4.66,$-0.76,0.0
2009-12-31,4.54,$-0.35,0.0
