Butterfly Network PE Ratio Historical Data,Butterfly Network PE Ratio Historical Data,Butterfly Network PE Ratio Historical Data,Butterfly Network PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.75,,0.0
2024-12-31,3.12,$-0.33,0.0
2024-09-30,1.77,$-0.46,0.0
2024-06-30,0.84,$-0.51,0.0
2024-03-31,1.08,$-0.58,0.0
2023-12-31,1.08,$-0.65,0.0
2023-09-30,1.18,$-0.61,0.0
2023-06-30,2.3,$-0.75,0.0
2023-03-31,1.88,$-0.79,0.0
2022-12-31,2.46,$-0.84,0.0
2022-09-30,4.7,$-0.75,0.0
2022-06-30,3.07,$-0.55,0.0
2022-03-31,4.76,$-0.39,0.0
2021-12-31,6.69,$-0.18,0.0
2021-09-30,10.44,$-0.10,0.0
2021-06-30,14.48,$-0.03,0.0
