Radius Recycling PE Ratio Historical Data,Radius Recycling PE Ratio Historical Data,Radius Recycling PE Ratio Historical Data,Radius Recycling PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.99,,0.0
2024-11-30,19.82,$-10.02,0.0
2024-08-31,15.0,$-9.36,0.0
2024-05-31,16.77,$-9.72,0.0
2024-02-29,19.17,$-2.28,0.0
2023-11-30,24.68,$-0.94,0.0
2023-08-31,31.71,$-0.94,0.0
2023-05-31,26.12,$0.34,76.81
2023-02-28,30.84,$2.39,12.91
2022-11-30,32.21,$3.51,9.18
2022-08-31,30.79,$5.70,5.4
2022-05-31,37.64,$6.77,5.56
2022-02-28,44.93,$6.40,7.02
2021-11-30,44.2,$6.67,6.63
2021-08-31,43.32,$5.62,7.71
2021-05-31,49.71,$4.33,11.48
2021-02-28,31.37,$2.00,15.69
2020-11-30,23.14,$0.60,38.57
2020-08-31,17.67,$-0.16,0.0
2020-05-31,13.92,$0.11,126.53
2020-02-29,14.44,$0.85,16.99
2019-11-30,18.67,$1.17,15.96
2019-08-31,19.01,$2.00,9.51
2019-05-31,17.98,$3.68,4.89
2019-02-28,20.54,$4.43,4.64
2018-11-30,23.49,$5.39,4.36
2018-08-31,21.95,$5.46,4.02
2018-05-31,25.79,$4.01,6.43
2018-02-28,27.97,$3.30,8.48
2017-11-30,23.89,$2.28,10.48
2017-08-31,21.85,$1.59,13.74
2017-05-31,15.56,$1.53,10.17
2017-02-28,19.0,$1.33,14.28
2016-11-30,22.09,$-0.59,0.0
2016-08-31,14.75,$-0.74,0.0
2016-05-31,12.52,$-0.93,0.0
2016-02-29,11.27,$-1.69,0.0
2015-11-30,12.54,$-7.41,0.0
2015-08-31,13.0,$-7.30,0.0
2015-05-31,13.3,$-7.42,0.0
2015-02-28,11.53,$-6.94,0.0
2014-11-30,16.57,$0.37,44.78
2014-08-31,19.96,$0.23,86.79
2014-05-31,17.84,$-10.86,0.0
2014-02-28,18.04,$-10.95,0.0
2013-11-30,21.62,$-10.70,0.0
2013-08-31,17.72,$-10.53,0.0
2013-05-31,17.21,$0.27,63.74
2013-02-28,19.79,$0.64,30.92
2012-11-30,19.38,$0.67,28.93
2012-08-31,18.86,$0.98,19.24
2012-05-31,17.7,$2.31,7.66
2012-02-29,30.47,$3.09,9.86
2011-11-30,31.29,$3.84,8.15
2011-08-31,30.7,$4.23,7.26
2011-05-31,39.83,$3.54,11.25
2011-02-28,43.25,$3.79,11.41
2010-11-30,38.45,$3.31,11.62
2010-08-31,29.79,$2.37,12.57
2010-05-31,33.68,$2.11,15.96
2010-02-28,30.72,$0.63,48.76
2009-11-30,30.01,$-0.24,0.0
