Tetra Tech PE Ratio Historical Data,Tetra Tech PE Ratio Historical Data,Tetra Tech PE Ratio Historical Data,Tetra Tech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.26,,30.74
2024-12-31,39.84,$0.95,41.85
2024-09-30,47.09,$1.23,38.23
2024-06-30,40.79,$1.08,37.7
2024-03-31,36.8,$0.99,37.24
2023-12-31,33.2,$0.86,38.43
2023-09-30,30.19,$1.02,29.6
2023-06-30,32.46,$1.13,28.73
2023-03-31,29.07,$1.12,25.87
2022-12-31,28.69,$1.16,24.73
2022-09-30,25.36,$0.97,26.04
2022-06-30,26.9,$0.97,27.79
2022-03-31,32.43,$0.94,34.5
2021-12-31,33.34,$0.91,36.64
2021-09-30,29.29,$0.85,34.38
2021-06-30,23.9,$0.71,33.57
2021-03-31,26.54,$0.69,38.57
2020-12-31,22.61,$0.65,34.57
2020-09-30,18.62,$0.63,29.47
2020-06-30,15.4,$0.51,30.2
2020-03-31,13.71,$0.52,26.37
2019-12-31,16.7,$0.59,28.41
2019-09-30,16.79,$0.57,29.56
2019-06-30,15.17,$0.63,24.16
2019-03-31,11.49,$0.57,20.15
2018-12-31,9.96,$0.47,21.1
2018-09-30,13.14,$0.48,27.14
2018-06-30,11.23,$0.50,22.37
2018-03-31,9.38,$0.49,19.21
2017-12-31,9.2,$0.48,19.26
2017-09-30,8.88,$0.41,21.77
2017-06-30,8.71,$0.39,22.1
2017-03-31,7.76,$0.38,20.52
2016-12-31,8.18,$0.30,27.44
2016-09-30,6.71,$0.28,23.62
2016-06-30,5.8,$0.07,80.53
2016-03-31,5.61,$0.07,80.09
2015-12-31,4.88,$0.12,40.64
2015-09-30,4.54,$0.12,36.64
2015-06-30,4.78,$0.30,15.93
2015-03-31,4.46,$0.30,15.08
2014-12-31,4.95,$0.33,14.99
2014-09-30,4.62,$0.33,13.9
2014-06-30,5.07,$0.34,14.9
2014-03-31,5.44,$0.02,339.86
2013-12-31,5.14,$-0.00,0.0
2013-09-30,4.76,$-0.01,0.0
2013-06-30,4.32,$0.01,432.04
2013-03-31,5.6,$0.34,16.38
2012-12-31,4.86,$0.34,14.48
2012-09-30,4.83,$0.33,14.8
2012-06-30,4.79,$0.32,15.17
2012-03-31,4.84,$0.30,16.04
2011-12-31,3.97,$0.29,13.78
2011-09-30,3.44,$0.29,11.96
2011-06-30,4.13,$0.28,14.87
2011-03-31,4.54,$0.27,16.93
2010-12-31,4.61,$0.26,17.85
2010-09-30,3.85,$0.25,15.67
2010-06-30,3.6,$0.24,15.14
2010-03-31,4.23,$0.27,15.45
2009-12-31,4.99,$0.29,17.1
