NI Holdings PE Ratio Historical Data,NI Holdings PE Ratio Historical Data,NI Holdings PE Ratio Historical Data,NI Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.02,,0.0
2024-12-31,15.7,$-0.13,0.0
2024-09-30,15.68,$-0.28,0.0
2024-06-30,15.3,$-0.14,0.0
2024-03-31,15.15,$0.25,60.6
2023-12-31,12.99,$-0.25,0.0
2023-09-30,12.87,$-0.53,0.0
2023-06-30,14.85,$-1.01,0.0
2023-03-31,13.0,$-2.78,0.0
2022-12-31,13.27,$-2.49,0.0
2022-09-30,13.36,$-2.24,0.0
2022-06-30,16.43,$-1.99,0.0
2022-03-31,16.96,$0.04,424.0
2021-12-31,18.91,$0.40,47.28
2021-09-30,17.56,$1.11,15.82
2021-06-30,19.01,$1.50,12.67
2021-03-31,18.48,$2.47,7.48
2020-12-31,16.42,$1.86,8.83
2020-09-30,16.89,$1.63,10.36
2020-06-30,14.77,$1.15,12.84
2020-03-31,13.56,$0.41,33.07
2019-12-31,17.2,$1.19,14.45
2019-09-30,17.14,$1.09,15.72
2019-06-30,17.61,$1.84,9.57
2019-03-31,16.0,$1.74,9.2
2018-12-31,15.73,$1.39,11.32
2018-09-30,16.87,$1.34,12.59
2018-06-30,16.95,$0.78,21.73
2018-03-31,16.7,$0.78,21.41
2017-12-31,16.98,$0.72,23.58
