UNITY Biotechnology PE Ratio Historical Data,UNITY Biotechnology PE Ratio Historical Data,UNITY Biotechnology PE Ratio Historical Data,UNITY Biotechnology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.7,,0.0
2024-12-31,0.98,$-1.53,0.0
2024-09-30,1.47,$-1.31,0.0
2024-06-30,1.35,$-1.98,0.0
2024-03-31,1.64,$-2.52,0.0
2023-12-31,1.93,$-2.94,0.0
2023-09-30,2.4,$-3.66,0.0
2023-06-30,2.55,$-3.97,0.0
2023-03-31,1.63,$-5.02,0.0
2022-12-31,2.74,$-7.06,0.0
2022-09-30,3.95,$-7.86,0.0
2022-06-30,5.64,$-9.50,0.0
2022-03-31,11.2,$-10.80,0.0
2021-12-31,14.6,$-10.90,0.0
2021-09-30,30.0,$-12.80,0.0
2021-06-30,46.4,$-15.00,0.0
2021-03-31,60.0,$-15.60,0.0
2020-12-31,52.4,$-18.60,0.0
2020-09-30,34.6,$-18.80,0.0
2020-06-30,86.8,$-18.70,0.0
2020-03-31,58.0,$-20.50,0.0
2019-12-31,72.1,$-19.00,0.0
2019-09-30,61.0,$-20.40,0.0
2019-06-30,95.0,$-19.80,0.0
2019-03-31,81.1,$-21.80,0.0
