Marinus Pharmaceuticals PE Ratio Historical Data,Marinus Pharmaceuticals PE Ratio Historical Data,Marinus Pharmaceuticals PE Ratio Historical Data,Marinus Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,0.23,,0.0
2024-09-30,1.76,$-2.47,0.0
2024-06-30,1.17,$-2.66,0.0
2024-03-31,9.04,$-2.64,0.0
2023-12-31,10.87,$-2.63,0.0
2023-09-30,8.05,$-2.65,0.0
2023-06-30,10.86,$-0.15,0.0
2023-03-31,6.9,$-0.60,0.0
2022-12-31,3.98,$-0.45,0.0
2022-09-30,6.65,$-0.46,0.0
2022-06-30,4.84,$-2.88,0.0
2022-03-31,9.35,$-2.47,0.0
2021-12-31,11.88,$-2.69,0.0
2021-09-30,11.38,$-2.47,0.0
2021-06-30,17.94,$-2.45,0.0
2021-03-31,15.48,$-2.44,0.0
2020-12-31,12.2,$-2.98,0.0
2020-09-30,12.85,$-3.47,0.0
2020-06-30,10.16,$-4.00,0.0
2020-03-31,8.12,$-4.32,0.0
2019-12-31,8.64,$-4.00,0.0
2019-09-30,6.16,$-3.92,0.0
2019-06-30,16.6,$-3.96,0.0
2019-03-31,16.72,$-3.96,0.0
2018-12-31,11.48,$-3.60,0.0
2018-09-30,40.0,$-3.44,0.0
2018-06-30,28.28,$-2.96,0.0
2018-03-31,15.28,$-2.84,0.0
2017-12-31,32.64,$-3.28,0.0
2017-09-30,23.48,$-3.72,0.0
2017-06-30,5.48,$-4.44,0.0
2017-03-31,7.08,$-5.44,0.0
2016-12-31,4.04,$-5.88,0.0
2016-09-30,7.28,$-6.44,0.0
2016-06-30,5.08,$-6.52,0.0
2016-03-31,21.52,$-6.16,0.0
2015-12-31,30.56,$-6.68,0.0
2015-09-30,33.36,$-5.92,0.0
2015-06-30,46.4,$-5.40,0.0
