Hercules Capital PE Ratio Historical Data,Hercules Capital PE Ratio Historical Data,Hercules Capital PE Ratio Historical Data,Hercules Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.13,,11.88
2024-12-31,20.09,$1.61,12.48
2024-09-30,19.16,$2.02,9.49
2024-06-30,19.43,$1.79,10.86
2024-03-31,17.1,$2.20,7.77
2023-12-31,15.05,$2.31,6.52
2023-09-30,14.39,$2.00,7.19
2023-06-30,12.6,$2.22,5.68
2023-03-31,10.6,$1.47,7.21
2022-12-31,10.55,$0.76,13.88
2022-09-30,8.91,$0.32,27.85
2022-06-30,10.05,$0.11,91.39
2022-03-31,13.05,$0.85,15.35
2021-12-31,11.65,$1.43,8.15
2021-09-30,11.4,$2.71,4.21
2021-06-30,11.45,$2.89,3.96
2021-03-31,10.52,$2.79,3.77
2020-12-31,9.24,$1.97,4.69
2020-09-30,7.2,$1.08,6.66
2020-06-30,6.34,$0.88,7.2
2020-03-31,4.48,$0.82,5.47
2019-12-31,7.98,$1.73,4.61
2019-09-30,7.42,$1.13,6.57
2019-06-30,6.94,$1.32,5.25
2019-03-31,6.68,$1.42,4.71
2018-12-31,5.7,$0.85,6.71
2018-09-30,6.61,$1.25,5.29
2018-06-30,6.21,$1.28,4.86
2018-03-31,5.8,$1.09,5.32
2017-12-31,6.13,$0.95,6.45
2017-09-30,5.89,$0.91,6.47
2017-06-30,5.9,$0.92,6.42
2017-03-31,6.59,$0.65,10.13
2016-12-31,6.02,$0.92,6.54
2016-09-30,5.65,$0.94,6.01
2016-06-30,5.06,$0.58,8.72
2016-03-31,4.77,$0.48,9.94
2015-12-31,4.71,$0.61,7.72
2015-09-30,3.8,$0.73,5.2
2015-06-30,4.23,$0.91,4.65
2015-03-31,4.82,$1.08,4.46
2014-12-31,5.2,$1.10,4.73
2014-09-30,4.96,$1.17,4.24
2014-06-30,5.43,$1.53,3.55
2014-03-31,4.63,$1.67,2.77
2013-12-31,5.29,$1.62,3.26
2013-09-30,4.83,$1.70,2.84
2013-06-30,4.33,$1.20,3.61
2013-03-31,3.73,$1.11,3.36
2012-12-31,3.32,$1.05,3.16
2012-09-30,3.21,$0.83,3.86
2012-06-30,3.23,$0.88,3.67
2012-03-31,3.09,$0.87,3.55
2011-12-31,2.58,$0.60,4.3
2011-09-30,2.27,$0.65,3.5
2011-06-30,2.74,$0.28,9.78
2011-03-31,2.8,$0.23,12.18
2010-12-31,2.59,$0.42,6.16
2010-09-30,2.48,$0.38,6.53
2010-06-30,2.22,$0.90,2.46
2010-03-31,2.5,$0.33,7.56
2009-12-31,2.4,$0.52,4.61
