Reinsurance Group Of America PE Ratio Historical Data,Reinsurance Group Of America PE Ratio Historical Data,Reinsurance Group Of America PE Ratio Historical Data,Reinsurance Group Of America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,191.58,,17.84
2024-12-31,213.63,$10.74,19.89
2024-09-30,217.03,$10.89,19.93
2024-06-30,203.58,$12.85,15.84
2024-03-31,190.51,$12.87,14.8
2023-12-31,158.99,$13.43,11.84
2023-09-30,141.94,$14.08,10.08
2023-06-30,134.77,$13.98,9.64
2023-03-31,128.32,$13.85,9.26
2022-12-31,136.62,$9.20,14.85
2022-09-30,120.24,$8.48,14.18
2022-06-30,111.41,$3.97,28.06
2022-03-31,103.34,$6.07,17.02
2021-12-31,102.7,$9.03,11.37
2021-09-30,103.69,$8.67,11.96
2021-06-30,105.59,$12.11,8.72
2021-03-31,116.11,$9.57,12.13
2020-12-31,106.13,$6.13,17.31
2020-09-30,86.64,$7.87,11.01
2020-06-30,70.87,$8.87,7.99
2020-03-31,75.43,$9.57,7.88
2019-12-31,145.51,$13.63,10.68
2019-09-30,142.08,$11.67,12.17
2019-06-30,138.0,$12.23,11.28
2019-03-31,125.57,$12.18,10.31
2018-12-31,123.51,$11.05,11.18
2018-09-30,126.79,$27.82,4.56
2018-06-30,116.58,$26.61,4.38
2018-03-31,134.07,$27.02,4.96
2017-12-31,135.31,$27.72,4.88
2017-09-30,120.68,$12.15,9.93
2017-06-30,110.65,$11.75,9.42
2017-03-31,109.08,$11.85,9.21
2016-12-31,107.74,$10.80,9.98
2016-09-30,92.08,$10.34,8.91
2016-06-30,82.4,$8.52,9.67
2016-03-31,81.46,$6.82,11.94
2015-12-31,72.08,$7.46,9.66
2015-09-30,76.03,$7.75,9.81
2015-06-30,79.31,$8.78,9.03
2015-03-31,77.63,$9.68,8.02
2014-12-31,72.72,$9.79,7.43
2014-09-30,66.25,$9.07,7.3
2014-06-30,64.96,$8.72,7.45
2014-03-31,65.31,$5.19,12.58
2013-12-31,63.23,$5.76,10.98
2013-09-30,54.49,$6.73,8.1
2013-06-30,55.96,$6.75,8.29
2013-03-31,48.14,$9.35,5.15
2012-12-31,43.0,$8.53,5.04
2012-09-30,46.28,$7.68,6.03
2012-06-30,42.38,$7.71,5.5
2012-03-31,47.2,$7.58,6.23
2011-12-31,41.34,$8.09,5.11
2011-09-30,36.23,$8.56,4.23
2011-06-30,47.83,$8.30,5.76
2011-03-31,49.24,$8.22,5.99
2010-12-31,42.05,$7.68,5.47
2010-09-30,37.71,$6.58,5.73
2010-06-30,35.61,$6.47,5.5
2010-03-31,40.82,$6.87,5.94
2009-12-31,36.94,$5.55,6.66
