Scully Royalty PE Ratio Historical Data,Scully Royalty PE Ratio Historical Data,Scully Royalty PE Ratio Historical Data,Scully Royalty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.14,,0.0
2024-06-30,7.12,$-2.24,0.0
2017-12-31,5.89,$-2.37,0.0
2017-09-30,7.1,$-1.41,0.0
2017-06-30,6.73,$-1.44,0.0
2017-03-31,6.73,$-1.44,0.0
2016-12-31,7.37,$-1.32,0.0
