Jefferies Financial Group PE Ratio Historical Data,Jefferies Financial Group PE Ratio Historical Data,Jefferies Financial Group PE Ratio Historical Data,Jefferies Financial Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,59.18,,19.86
2024-11-30,79.14,$2.98,26.56
2024-08-31,59.67,$2.34,25.5
2024-05-31,46.02,$1.81,25.43
2024-02-29,41.11,$1.22,33.7
2023-11-30,34.59,$1.10,31.44
2023-08-31,34.53,$1.38,25.02
2023-05-31,28.84,$1.94,14.87
2023-02-28,35.88,$2.34,15.33
2022-11-30,35.8,$3.03,11.81
2022-08-31,29.99,$3.66,8.19
2022-05-31,30.6,$4.38,6.99
2022-02-28,32.61,$5.23,6.24
2021-11-30,34.21,$6.13,5.58
2021-08-31,33.45,$6.04,5.54
2021-05-31,28.87,$5.61,5.15
2021-02-28,25.94,$4.47,5.8
2020-11-30,20.16,$2.71,7.44
2020-08-31,15.46,$2.22,6.96
2020-05-31,12.8,$1.30,9.85
2020-02-29,17.02,$3.28,5.19
2019-11-30,17.93,$3.05,5.88
2019-08-31,14.87,$2.43,6.12
2019-05-31,14.0,$2.28,6.14
2019-02-28,15.95,$0.14,113.96
2018-11-30,17.09,$2.03,8.42
2018-09-30,17.08,$2.03,8.41
2018-06-30,17.59,$2.37,7.42
2018-05-31,16.85,$2.37,7.11
2018-03-31,17.51,$-0.40,0.0
2018-02-28,18.4,$-0.40,0.0
2017-12-31,20.32,$-0.74,0.0
2017-11-30,20.1,$-0.74,0.0
2017-09-30,19.29,0,0.0
2017-06-30,19.99,0,0.0
2017-03-31,19.82,0,0.0
2016-12-31,17.68,0,0.0
2016-09-30,14.44,0,0.0
2016-06-30,13.1,0,0.0
2016-03-31,12.18,0,0.0
2015-12-31,13.05,0,0.0
2015-09-30,15.14,0,0.0
2015-06-30,18.1,0,0.0
2015-03-31,16.57,0,0.0
2014-12-31,16.62,0,0.0
2014-09-30,17.63,0,0.0
2014-06-30,19.34,0,0.0
2014-03-31,20.6,0,0.0
2013-12-31,20.8,0,0.0
2013-09-30,19.95,0,0.0
2013-06-30,19.16,0,0.0
2013-03-31,20.0,0,0.0
2012-12-31,16.85,0,0.0
2012-09-30,15.94,0,0.0
2012-06-30,14.9,0,0.0
2012-03-31,18.28,0,0.0
2011-12-31,15.93,0,0.0
2011-09-30,15.71,0,0.0
2011-06-30,23.62,0,0.0
2011-03-31,26.0,0,0.0
2010-12-31,20.21,0,0.0
2010-09-30,16.22,0,0.0
2010-06-30,13.39,0,0.0
2010-03-31,17.03,0,0.0
2009-12-31,16.33,0,0.0
