AEye PE Ratio Historical Data,AEye PE Ratio Historical Data,AEye PE Ratio Historical Data,AEye PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.69,,0.0
2024-12-31,1.27,$-4.71,0.0
2024-09-30,1.14,$-8.22,0.0
2024-06-30,1.95,$-9.91,0.0
2024-03-31,1.25,$-11.46,0.0
2023-12-31,2.29,$-14.65,0.0
2023-09-30,0.21,$-14.71,0.0
2023-06-30,0.18,$-16.52,0.0
2023-03-31,0.31,$-18.92,0.0
2022-12-31,0.48,$-18.92,0.0
2022-09-30,1.11,$-19.22,0.0
2022-06-30,1.91,$-19.22,0.0
2022-03-31,5.47,$-14.11,0.0
2021-12-31,4.84,$-9.31,0.0
