Littelfuse PE Ratio Historical Data,Littelfuse PE Ratio Historical Data,Littelfuse PE Ratio Historical Data,Littelfuse PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,211.35,,46.97
2024-12-31,235.65,$4.50,52.37
2024-09-30,264.47,$7.78,33.99
2024-06-30,254.18,$7.76,32.76
2024-03-31,240.42,$8.73,27.54
2023-12-31,264.71,$10.34,25.6
2023-09-30,244.01,$12.37,19.73
2023-06-30,286.71,$13.09,21.9
2023-03-31,263.25,$13.78,19.1
2022-12-31,215.72,$14.94,14.44
2022-09-30,194.17,$13.28,14.62
2022-06-30,247.65,$13.95,17.75
2022-03-31,242.64,$13.77,17.62
2021-12-31,305.49,$11.39,26.82
2021-09-30,264.86,$11.70,22.64
2021-06-30,246.47,$10.26,24.02
2021-03-31,255.33,$6.59,38.74
2020-12-31,245.45,$5.27,46.57
2020-09-30,170.57,$3.80,44.89
2020-06-30,163.69,$2.99,54.75
2020-03-31,127.6,$5.11,24.97
2019-12-31,182.49,$5.59,32.65
2019-09-30,168.69,$5.96,28.3
2019-06-30,167.81,$6.62,25.35
2019-03-31,172.65,$6.54,26.4
2018-12-31,161.87,$6.51,24.87
2018-09-30,186.35,$4.74,39.31
2018-06-30,214.45,$4.51,47.55
2018-03-31,195.32,$4.95,39.46
2017-12-31,185.27,$5.19,35.7
2017-09-30,183.14,$6.86,26.7
2017-06-30,153.94,$6.34,24.28
2017-03-31,148.89,$5.43,27.42
2016-12-31,141.03,$4.59,30.72
2016-09-30,119.42,$4.40,27.14
2016-06-30,109.29,$3.55,30.78
2016-03-31,113.54,$3.61,31.45
2015-12-31,98.44,$3.64,27.04
2015-09-30,83.61,$3.50,23.89
2015-06-30,86.78,$4.32,20.09
2015-03-31,90.67,$4.14,21.9
2014-12-31,87.96,$4.38,20.08
2014-09-30,77.3,$4.56,16.95
2014-06-30,84.13,$4.43,18.99
2014-03-31,84.54,$4.53,18.66
2013-12-31,83.7,$4.07,20.56
2013-09-30,70.26,$3.47,20.25
2013-06-30,66.83,$3.36,19.89
2013-03-31,60.61,$3.25,18.65
2012-12-31,54.96,$3.40,16.17
2012-09-30,50.16,$3.66,13.71
2012-06-30,50.29,$3.70,13.59
2012-03-31,55.25,$3.74,14.77
2011-12-31,37.75,$3.89,9.7
2011-09-30,35.18,$4.07,8.64
2011-06-30,51.16,$3.99,12.82
2011-03-31,49.62,$3.78,13.13
2010-12-31,40.78,$3.51,11.62
2010-09-30,37.74,$3.16,11.94
2010-06-30,27.3,$2.49,10.96
2010-03-31,32.83,$1.47,22.33
2009-12-31,27.77,$0.42,66.11
