S&W Seed PE Ratio Historical Data,S&W Seed PE Ratio Historical Data,S&W Seed PE Ratio Historical Data,S&W Seed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.67,,0.0
2024-12-31,7.99,$-15.61,0.0
2024-09-30,3.52,$-17.74,0.0
2024-06-30,6.84,$-13.29,0.0
2024-03-31,9.19,$-11.22,0.0
2023-12-31,13.3,$5.32,2.5
2023-09-30,21.28,$5.51,3.86
2023-06-30,23.18,$6.08,3.81
2023-03-31,27.46,$3.42,8.02
2022-12-31,28.31,$-14.26,0.0
2022-09-30,13.87,$-16.35,0.0
2022-06-30,19.0,$-17.49,0.0
2022-03-31,40.47,$-12.55,0.0
2021-12-31,51.87,$-9.89,0.0
2021-09-30,49.21,$-9.89,0.0
2021-06-30,69.16,$-10.65,0.0
2021-03-31,69.16,$-12.36,0.0
2020-12-31,55.67,$-13.31,0.0
2020-09-30,47.12,$-12.36,0.0
2020-06-30,43.32,$-11.22,0.0
2020-03-31,38.95,$-10.46,0.0
2019-12-31,39.9,$-10.46,0.0
2019-09-30,45.22,$-8.36,0.0
2019-06-30,50.16,$-5.51,0.0
2019-03-31,50.92,$-7.03,0.0
2018-12-31,34.39,$-3.80,0.0
2018-09-30,46.55,$-2.47,0.0
2018-06-30,61.75,$-4.18,0.0
2018-03-31,68.4,$-12.55,0.0
2017-12-31,74.1,$-13.50,0.0
2017-09-30,59.85,$-12.93,0.0
2017-06-30,78.85,$-14.83,0.0
2017-03-31,94.05,$-2.66,0.0
2016-12-31,87.4,$-2.28,0.0
2016-09-30,96.9,$-0.57,0.0
2016-06-30,82.84,$0.38,217.89
2016-03-31,79.42,$-0.38,0.0
2015-12-31,80.18,$-1.90,0.0
2015-09-30,87.4,$-6.27,0.0
2015-06-30,92.72,$-5.13,0.0
2015-03-31,87.78,$-3.80,0.0
2014-12-31,76.0,$-3.61,0.0
2014-09-30,80.56,$-0.95,0.0
2014-06-30,123.31,$0.57,216.18
2014-03-31,140.79,$-1.90,0.0
2013-12-31,132.05,$-5.32,0.0
2013-09-30,159.03,$-5.13,0.0
2013-06-30,159.22,$-4.94,0.0
2013-03-31,199.69,$-5.51,0.0
2012-12-31,146.68,$-1.52,0.0
2012-09-30,115.52,$-0.38,0.0
2012-06-30,100.51,$1.14,88.12
2012-03-31,107.35,$2.66,40.33
2011-12-31,83.79,$1.71,48.97
2011-09-30,90.44,0,0.0
2011-06-30,81.89,$-2.47,0.0
2011-03-31,69.92,$-3.42,0.0
