Genco Shipping & Trading PE Ratio Historical Data,Genco Shipping & Trading PE Ratio Historical Data,Genco Shipping & Trading PE Ratio Historical Data,Genco Shipping & Trading PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.99,,7.99
2024-12-31,13.94,$1.75,7.97
2024-09-30,19.07,$1.57,12.14
2024-06-30,20.44,$0.33,61.93
2024-03-31,19.14,$0.06,319.07
2023-12-31,15.31,$-0.31,0.0
2023-09-30,12.78,$0.25,51.11
2023-06-30,12.68,$1.95,6.5
2023-03-31,14.0,$2.78,5.04
2022-12-31,13.37,$3.69,3.62
2022-09-30,10.34,$5.15,2.01
2022-06-30,15.46,$5.54,2.79
2022-03-31,18.22,$5.19,3.51
2021-12-31,11.95,$4.27,2.8
2021-09-30,14.89,$0.57,26.12
2021-06-30,13.89,$-1.27,0.0
2021-03-31,7.39,$-2.45,0.0
2020-12-31,5.39,$-5.37,0.0
2020-09-30,5.04,$-3.78,0.0
2020-06-30,4.57,$-3.63,0.0
2020-03-31,4.65,$-4.03,0.0
2019-12-31,7.5,$-1.35,0.0
2019-09-30,6.2,$-0.93,0.0
2019-06-30,5.68,$-0.44,0.0
2019-03-31,5.02,$0.36,13.96
2018-12-31,5.31,$-1.06,0.0
2018-09-30,9.43,$-1.43,0.0
2018-06-30,10.44,$-2.47,0.0
2018-03-31,9.58,$-2.86,0.0
2017-12-31,8.97,$-1.72,0.0
2017-09-30,7.81,$-5.14,0.0
2017-06-30,6.38,$-8.04,0.0
2017-03-31,8.42,$-22.94,0.0
2016-12-31,4.97,$-29.97,0.0
2016-09-30,3.08,$-33.52,0.0
2016-06-30,3.84,$-39.22,0.0
