Xometry PE Ratio Historical Data,Xometry PE Ratio Historical Data,Xometry PE Ratio Historical Data,Xometry PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,25.63,,0.0
2024-12-31,42.66,$-1.03,0.0
2024-09-30,18.37,$-1.05,0.0
2024-06-30,11.56,$-1.09,0.0
2024-03-31,16.89,$-1.36,0.0
2023-12-31,35.91,$-1.40,0.0
2023-09-30,16.98,$-1.69,0.0
2023-06-30,21.18,$-1.76,0.0
2023-03-31,14.97,$-1.56,0.0
2022-12-31,32.23,$-1.61,0.0
2022-09-30,56.79,$-1.63,0.0
2022-06-30,33.93,$-1.64,0.0
2022-03-31,36.75,$-2.75,0.0
