Evergy PE Ratio Historical Data,Evergy PE Ratio Historical Data,Evergy PE Ratio Historical Data,Evergy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,67.97,,17.93
2024-12-31,61.55,$3.79,16.24
2024-09-30,61.38,$3.70,16.59
2024-06-30,51.85,$3.21,16.15
2024-03-31,51.65,$3.09,16.72
2023-12-31,49.89,$3.18,15.69
2023-09-30,47.84,$2.96,16.16
2023-06-30,54.53,$3.29,16.58
2023-03-31,56.47,$3.35,16.86
2022-12-31,57.54,$3.26,17.65
2022-09-30,53.75,$3.46,15.53
2022-06-30,58.57,$3.55,16.5
2022-03-31,60.82,$3.52,17.28
2021-12-31,60.52,$3.83,15.8
2021-09-30,54.39,$3.82,14.24
2021-06-30,52.43,$3.47,15.11
2021-03-31,51.21,$3.25,15.76
2020-12-31,47.29,$2.72,17.39
2020-09-30,42.87,$2.78,15.42
2020-06-30,49.53,$2.74,18.08
2020-03-31,45.59,$2.72,16.76
2019-12-31,53.51,$2.80,19.11
2019-09-30,54.29,$2.59,20.96
2019-06-30,48.71,$2.35,20.73
2019-03-31,46.62,$2.34,19.92
2018-12-31,45.21,$2.37,19.07
2018-09-30,43.38,$2.54,17.08
2018-06-30,44.0,$2.33,18.88
2018-03-31,41.21,$2.27,18.15
2017-12-31,41.37,$2.27,18.23
2017-09-30,38.87,$2.41,16.13
2017-06-30,41.55,$2.38,17.46
2017-03-31,42.53,$2.39,17.79
2016-12-31,44.16,$2.43,18.17
2016-09-30,44.47,$2.33,19.09
2016-06-30,43.95,$2.22,19.8
2016-03-31,38.87,$2.17,17.91
2015-12-31,33.23,$2.09,15.9
2015-09-30,30.12,$2.14,14.08
2015-06-30,26.81,$2.27,11.81
2015-03-31,30.37,$2.21,13.74
2014-12-31,32.32,$2.35,13.75
2014-09-30,26.74,$2.34,11.43
2014-06-30,29.93,$2.28,13.13
2014-03-31,27.55,$2.40,11.48
2013-12-31,25.21,$2.28,11.06
2013-09-30,23.76,$2.32,10.24
2013-06-30,24.5,$2.38,10.29
2013-03-31,25.16,$2.34,10.75
2012-12-31,21.24,$2.15,9.88
2012-09-30,21.76,$1.95,11.16
2012-06-30,21.73,$2.00,10.87
2012-03-31,20.04,$1.52,13.18
2011-12-31,20.16,$1.58,12.76
2011-09-30,18.3,$1.46,12.53
2011-06-30,18.4,$1.33,13.84
2011-03-31,17.85,$1.80,9.92
2010-12-31,16.79,$1.80,9.33
2010-09-30,15.97,$1.86,8.59
2010-06-30,14.06,$1.58,8.9
2010-03-31,14.11,$1.46,9.67
2009-12-31,13.55,$1.59,8.52
