Fortress Biotech PE Ratio Historical Data,Fortress Biotech PE Ratio Historical Data,Fortress Biotech PE Ratio Historical Data,Fortress Biotech PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.7,,0.0
2024-09-30,1.45,$-3.05,0.0
2024-06-30,1.71,$-3.23,0.0
2024-03-31,2.0,$-6.10,0.0
2023-12-31,3.01,$-8.22,0.0
2023-09-30,4.35,$-12.18,0.0
2023-06-30,8.25,$-14.99,0.0
2023-03-31,12.3,$-14.99,0.0
2022-12-31,9.83,$-14.54,0.0
2022-09-30,129.0,$-15.74,0.0
2022-06-30,125.99,$-15.89,0.0
2022-03-31,204.0,$-12.89,0.0
2021-12-31,375.0,$-11.84,0.0
2021-09-30,483.0,$-7.05,0.0
2021-06-30,535.5,$-6.15,0.0
2021-03-31,529.5,$-8.40,0.0
2020-12-31,475.5,$-9.60,0.0
2020-09-30,606.0,$-12.74,0.0
2020-06-30,402.0,$-13.04,0.0
2020-03-31,283.5,$-13.79,0.0
2019-12-31,385.5,$-10.64,0.0
2019-09-30,211.5,$-6.60,0.0
2019-06-30,225.0,$-8.85,0.0
2019-03-31,267.0,$-12.74,0.0
2018-12-31,129.0,$-20.39,0.0
2018-09-30,240.0,$-23.54,0.0
2018-06-30,447.0,$-28.04,0.0
2018-03-31,682.5,$-26.99,0.0
2017-12-31,598.5,$-24.14,0.0
2017-09-30,663.0,$-27.44,0.0
2017-06-30,712.5,$-22.19,0.0
2017-03-31,555.0,$-20.39,0.0
2016-12-31,405.0,$-20.54,0.0
2016-09-30,445.5,$-18.74,0.0
2016-06-30,403.5,$-20.84,0.0
2016-03-31,465.0,$-18.59,0.0
2015-12-31,418.5,$-18.59,0.0
2015-09-30,390.0,$-15.44,0.0
2015-06-30,504.0,$-10.49,0.0
2015-03-31,577.5,$-10.05,0.0
2014-12-31,366.0,$-8.55,0.0
2014-09-30,315.0,$-11.09,0.0
2014-06-30,258.0,$-12.74,0.0
2014-03-31,297.0,$-16.49,0.0
2013-12-31,394.5,$-18.59,0.0
2013-09-30,1051.65,$-19.94,0.0
2013-06-30,1290.0,$-19.94,0.0
2013-03-31,1458.0,$-19.34,0.0
2012-12-31,676.5,$-19.34,0.0
2012-09-30,780.0,$-21.74,0.0
