Gevo PE Ratio Historical Data,Gevo PE Ratio Historical Data,Gevo PE Ratio Historical Data,Gevo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.32,,0.0
2024-09-30,1.63,$-0.34,0.0
2024-06-30,0.56,$-0.32,0.0
2024-03-31,0.77,$-0.29,0.0
2023-12-31,1.16,$-0.28,0.0
2023-09-30,1.19,$-0.31,0.0
2023-06-30,1.52,$-0.43,0.0
2023-03-31,1.54,$-0.43,0.0
2022-12-31,1.9,$-0.44,0.0
2022-09-30,2.28,$-0.41,0.0
2022-06-30,2.35,$-0.29,0.0
2022-03-31,4.68,$-0.32,0.0
2021-12-31,4.28,$-0.29,0.0
2021-09-30,6.64,$-0.36,0.0
2021-06-30,7.27,$-0.38,0.0
2021-03-31,9.81,$-0.69,0.0
2020-12-31,4.25,$-1.28,0.0
2020-09-30,1.0,$-1.63,0.0
2020-06-30,0.79,$-2.20,0.0
2020-03-31,0.82,$-2.40,0.0
2019-12-31,2.31,$-2.36,0.0
2019-09-30,3.35,$-2.69,0.0
2019-06-30,1.97,$-2.88,0.0
2019-03-31,2.19,$-9.47,0.0
2018-12-31,1.96,$-11.07,0.0
2018-09-30,3.96,$-14.24,0.0
2018-06-30,3.8,$-18.39,0.0
2018-03-31,9.22,$-24.40,0.0
2017-12-31,11.81,$-32.40,0.0
2017-09-30,12.49,$-35.00,0.0
2017-06-30,13.78,$-70.00,0.0
2017-03-31,22.8,$-232.80,0.0
2016-12-31,69.2,$-286.60,0.0
2016-09-30,192.8,$-456.00,0.0
2016-06-30,236.0,$-572.00,0.0
2016-03-31,108.0,$-940.00,0.0
2015-12-31,248.0,"$-1,228.00",0.0
2015-09-30,688.0,"$-1,712.66",0.0
2015-06-30,1308.0,"$-1,616.72",0.0
2015-03-31,1206.0,"$-2,574.22",0.0
2014-12-31,1920.0,"$-3,303.30",0.0
2014-09-30,2055.0,"$-4,744.74",0.0
2014-06-30,5160.0,"$-6,726.73",0.0
2014-03-31,7020.0,"$-7,327.33",0.0
2013-12-31,8580.0,"$-8,948.95",0.0
2013-09-30,11519.99,"$-8,888.89",0.0
2013-06-30,12179.99,"$-8,708.71",0.0
2013-03-31,13439.99,"$-10,330.33",0.0
2012-12-31,9240.0,"$-12,072.07",0.0
2012-09-30,12839.99,"$-13,273.27",0.0
2012-06-30,29819.99,"$-14,294.29",0.0
2012-03-31,55139.97,"$-13,453.45",0.0
2011-12-31,37739.98,"$-13,573.57",0.0
