DMY Squared Technology PE Ratio Historical Data,DMY Squared Technology PE Ratio Historical Data,DMY Squared Technology PE Ratio Historical Data,DMY Squared Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.1,,0.0
2024-09-30,10.73,$-0.03,0.0
2024-06-30,10.72,$-0.07,0.0
2024-03-31,10.63,$0.01,0.0
2023-12-31,10.6,$0.08,132.5
2023-09-30,10.45,0,0.0
