SWK Holdings PE Ratio Historical Data,SWK Holdings PE Ratio Historical Data,SWK Holdings PE Ratio Historical Data,SWK Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.5,,18.82
2024-09-30,17.29,$0.93,18.59
2024-06-30,16.99,$1.01,16.82
2024-03-31,17.42,$0.97,17.96
2023-12-31,17.53,$1.26,13.91
2023-09-30,15.75,$1.25,12.6
2023-06-30,16.74,$1.40,11.96
2023-03-31,17.86,$1.13,15.81
2022-12-31,17.64,$1.04,16.96
2022-09-30,17.0,$1.31,12.98
2022-06-30,17.47,$0.97,18.01
2022-03-31,16.88,$2.02,8.36
2021-12-31,19.63,$2.01,9.77
2021-09-30,18.17,$1.88,9.66
2021-06-30,17.55,$2.05,8.56
2021-03-31,14.54,$1.03,14.12
2020-12-31,14.39,$0.41,35.1
