IRIDEX PE Ratio Historical Data,IRIDEX PE Ratio Historical Data,IRIDEX PE Ratio Historical Data,IRIDEX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.79,,0.0
2024-09-30,1.75,$-0.67,0.0
2024-06-30,2.16,$-0.66,0.0
2024-03-31,2.98,$-0.67,0.0
2023-12-31,2.81,$-0.59,0.0
2023-09-30,2.54,$-0.48,0.0
2023-06-30,2.17,$-0.48,0.0
2023-03-31,2.03,$-0.45,0.0
2022-12-31,2.01,$-0.47,0.0
2022-09-30,2.41,$-0.55,0.0
2022-06-30,2.57,$-0.58,0.0
2022-03-31,4.63,$-0.35,0.0
2021-12-31,6.11,$-0.34,0.0
2021-09-30,7.66,$-0.20,0.0
2021-06-30,7.06,$-0.18,0.0
2021-03-31,6.75,$-0.47,0.0
2020-12-31,2.51,$-0.45,0.0
2020-09-30,1.96,$-0.55,0.0
2020-06-30,2.12,$-0.56,0.0
2020-03-31,1.59,$-0.54,0.0
2019-12-31,2.23,$-0.64,0.0
2019-09-30,1.85,$-0.74,0.0
2019-06-30,4.55,$-0.87,0.0
2019-03-31,4.56,$-0.97,0.0
2018-12-31,4.7,$-1.06,0.0
2018-09-30,6.35,$-1.29,0.0
2018-06-30,6.96,$-1.30,0.0
2018-03-31,5.72,$-1.26,0.0
2017-12-31,7.62,$-1.11,0.0
2017-09-30,9.37,$-1.71,0.0
2017-06-30,9.89,$-1.51,0.0
2017-03-31,11.87,$-1.30,0.0
2016-12-31,14.06,$-1.13,0.0
2016-09-30,14.49,$-0.05,0.0
2016-06-30,14.79,$0.06,246.5
2016-03-31,10.22,$0.02,511.0
2015-12-31,9.29,$0.03,309.67
2015-09-30,7.61,$0.85,8.95
2015-06-30,8.25,$0.86,9.59
2015-03-31,10.68,$0.96,11.13
2014-12-31,8.6,$0.99,8.69
2014-09-30,7.0,$0.17,41.18
2014-06-30,8.31,$0.17,48.88
2014-03-31,8.93,$0.18,49.61
2013-12-31,10.17,$0.22,46.23
2013-09-30,5.93,$0.20,29.65
2013-06-30,5.91,$0.07,84.43
2013-03-31,4.45,$0.06,74.17
2012-12-31,3.9,$0.15,26.0
2012-09-30,3.7,$0.21,17.62
2012-06-30,4.17,$0.32,13.03
2012-03-31,4.41,$0.38,11.61
2011-12-31,3.74,$0.26,14.38
2011-09-30,3.7,$0.26,14.23
2011-06-30,4.01,$0.32,12.53
2011-03-31,4.55,$0.31,14.68
2010-12-31,3.92,$0.30,13.07
2010-09-30,3.45,$0.28,12.32
2010-06-30,3.68,$0.26,14.15
2010-03-31,4.3,$0.31,13.87
2009-12-31,3.07,$0.29,10.59
