Lincoln Educational Services PE Ratio Historical Data,Lincoln Educational Services PE Ratio Historical Data,Lincoln Educational Services PE Ratio Historical Data,Lincoln Educational Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.87,,49.59
2024-12-31,15.82,$0.32,49.44
2024-09-30,11.94,$0.32,37.31
2024-06-30,11.86,$0.26,45.62
2024-03-31,10.33,$0.85,12.15
2023-12-31,10.04,$0.86,11.67
2023-09-30,8.45,$0.91,9.29
2023-06-30,6.74,$0.94,7.17
2023-03-31,5.66,$0.37,15.3
2022-12-31,5.79,$0.37,15.65
2022-09-30,5.44,$0.83,6.55
2022-06-30,6.31,$0.84,7.51
2022-03-31,7.15,$0.90,7.94
2021-12-31,7.47,$1.03,7.25
2021-09-30,6.69,$1.74,3.84
2021-06-30,7.78,$1.71,4.55
2021-03-31,6.41,$1.67,3.84
2020-12-31,6.5,$1.46,4.45
2020-09-30,5.52,$0.35,15.77
2020-06-30,3.9,$0.32,12.19
2020-03-31,2.2,$0.18,12.22
2019-12-31,2.7,$0.04,67.5
2019-09-30,2.08,$-0.09,0.0
2019-06-30,2.31,$-0.16,0.0
2019-03-31,3.1,$-0.21,0.0
2018-12-31,3.2,$-0.27,0.0
2018-09-30,2.26,$-0.16,0.0
2018-06-30,1.74,$-0.20,0.0
2018-03-31,1.99,$-0.31,0.0
2017-12-31,2.02,$-0.49,0.0
2017-09-30,2.5,$-1.59,0.0
2017-06-30,3.1,$-1.55,0.0
2017-03-31,2.81,$-1.40,0.0
2016-12-31,1.92,$-1.20,0.0
2016-09-30,2.2,$-0.04,0.0
2016-06-30,1.5,$0.09,16.67
2016-03-31,2.48,$-0.11,0.0
2015-12-31,1.99,$-0.15,0.0
2015-09-30,0.51,$-0.32,0.0
2015-06-30,2.02,$-2.10,0.0
2015-03-31,2.28,$-2.28,0.0
2014-12-31,2.8,$-2.47,0.0
2014-09-30,2.79,$-4.09,0.0
2014-06-30,4.43,$-2.52,0.0
2014-03-31,3.65,$-2.43,0.0
2013-12-31,4.75,$-2.27,0.0
2013-09-30,4.33,$-1.39,0.0
2013-06-30,4.89,$-1.36,0.0
2013-03-31,5.38,$-1.87,0.0
2012-12-31,5.07,$-1.68,0.0
2012-09-30,3.75,$-0.86,0.0
2012-06-30,5.72,$-0.97,0.0
2012-03-31,6.87,$0.18,38.19
2011-12-31,6.81,$0.78,8.73
2011-09-30,6.9,$1.54,4.48
2011-06-30,14.22,$2.48,5.73
2011-03-31,12.95,$2.76,4.69
2010-12-31,12.45,$2.85,4.37
2010-09-30,11.38,$2.63,4.33
2010-06-30,16.26,$2.37,6.86
2010-03-31,19.98,$2.14,9.34
2009-12-31,17.1,$1.81,9.45
