EverQuote PE Ratio Historical Data,EverQuote PE Ratio Historical Data,EverQuote PE Ratio Historical Data,EverQuote PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.05,,32.62
2024-12-31,19.99,$0.86,23.24
2024-09-30,21.09,$0.34,62.03
2024-06-30,20.86,$-0.84,0.0
2024-03-31,18.56,$-1.41,0.0
2023-12-31,12.24,$-1.54,0.0
2023-09-30,7.23,$-1.61,0.0
2023-06-30,6.5,$-0.94,0.0
2023-03-31,13.9,$-0.66,0.0
2022-12-31,14.74,$-0.77,0.0
2022-09-30,6.82,$-0.80,0.0
2022-06-30,8.84,$-0.78,0.0
2022-03-31,16.18,$-0.73,0.0
2021-12-31,15.66,$-0.67,0.0
2021-09-30,18.63,$-0.51,0.0
2021-06-30,32.68,$-0.45,0.0
2021-03-31,36.29,$-0.48,0.0
2020-12-31,37.35,$-0.40,0.0
2020-09-30,38.64,$-0.31,0.0
2020-06-30,58.16,$-0.18,0.0
2020-03-31,26.25,$-0.16,0.0
2019-12-31,34.35,$-0.28,0.0
2019-09-30,21.34,$-0.52,0.0
2019-06-30,13.0,$-0.68,0.0
2019-03-31,7.44,$-3.70,0.0
