Noah Holdings PE Ratio Historical Data,Noah Holdings PE Ratio Historical Data,Noah Holdings PE Ratio Historical Data,Noah Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.11,,9.5
2024-09-30,12.33,$1.17,10.54
2024-06-30,7.59,$1.36,5.58
2024-03-31,9.0,$1.79,5.03
2023-12-31,10.87,$2.04,5.33
2023-09-30,9.81,$1.89,5.19
2023-06-30,11.08,$1.80,6.16
2023-03-31,12.67,$1.94,6.53
2022-12-31,11.87,$2.14,5.55
2022-09-30,10.12,$2.50,4.05
2022-06-30,15.49,$2.76,5.61
2022-03-31,18.02,$2.69,6.7
2021-12-31,23.5,$3.01,7.81
2021-09-30,28.43,$-1.46,0.0
2021-06-30,36.15,$-1.41,0.0
2021-03-31,34.0,$-1.42,0.0
2020-12-31,36.61,$-1.90,0.0
2020-09-30,19.96,$2.16,9.24
2020-06-30,19.5,$1.91,10.21
2020-03-31,19.8,$1.81,10.94
2019-12-31,27.09,$1.94,13.96
2019-09-30,22.36,$2.07,10.8
2019-06-30,32.58,$2.14,15.23
2019-03-31,37.11,$2.00,18.56
2018-12-31,33.17,$2.03,16.34
2018-09-30,32.27,$2.08,15.51
2018-06-30,39.94,$2.05,19.48
2018-03-31,36.15,$2.12,17.05
2017-12-31,35.44,$1.95,18.17
2017-09-30,24.59,$1.80,13.66
2017-06-30,21.94,$1.73,12.68
2017-03-31,19.44,$1.67,11.64
2016-12-31,16.79,$1.65,10.18
2016-09-30,19.99,$1.61,12.42
2016-06-30,18.46,$1.62,11.4
2016-03-31,19.05,$1.62,11.76
2015-12-31,21.39,$1.47,14.55
2015-09-30,17.99,$1.50,11.99
2015-06-30,23.15,$1.41,16.42
2015-03-31,17.9,$1.36,13.16
2014-12-31,16.0,$1.29,12.41
2014-09-30,10.28,$1.27,8.09
2014-06-30,10.83,$1.20,9.02
2014-03-31,11.04,$1.05,10.52
2013-12-31,13.78,$0.92,14.98
2013-09-30,13.06,$0.80,16.32
2013-06-30,6.79,$0.69,9.84
2013-03-31,5.57,$0.54,10.31
2012-12-31,4.38,$0.42,10.43
2012-09-30,3.25,$0.36,9.02
2012-06-30,3.7,$0.32,11.56
2012-03-31,6.0,$0.37,16.21
2011-12-31,4.54,$0.42,10.82
2011-09-30,6.8,$0.44,15.45
