Ocean Power Technologies PE Ratio Historical Data,Ocean Power Technologies PE Ratio Historical Data,Ocean Power Technologies PE Ratio Historical Data,Ocean Power Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.47,,0.0
2024-10-31,0.15,$-0.32,0.0
2024-07-31,0.22,$-0.40,0.0
2024-04-30,0.19,$-0.47,0.0
2024-01-31,0.3,$-0.52,0.0
2023-10-31,0.3,$-0.52,0.0
2023-07-31,0.6,$-0.49,0.0
2023-04-30,0.51,$-0.47,0.0
2023-01-31,0.7,$-0.39,0.0
2022-10-31,0.73,$-0.38,0.0
2022-07-31,0.87,$-0.39,0.0
2022-04-30,1.06,$-0.35,0.0
2022-01-31,1.13,$-0.36,0.0
2021-10-31,2.13,$-0.35,0.0
2021-07-31,1.97,$-0.40,0.0
2021-04-30,2.51,$-0.56,0.0
2021-01-31,4.01,$-0.59,0.0
2020-10-31,1.69,$-0.96,0.0
2020-07-31,0.83,$-1.32,0.0
2020-04-30,0.45,$-1.60,0.0
2020-01-31,0.83,$-2.52,0.0
2019-10-31,1.44,$-4.86,0.0
2019-07-31,1.65,$-8.55,0.0
2019-04-30,2.78,$-11.65,0.0
2019-01-31,6.4,$-14.20,0.0
2018-10-31,10.09,$-13.20,0.0
2018-07-31,14.8,$-13.00,0.0
2018-04-30,22.0,$-13.80,0.0
2018-01-31,23.8,$-18.00,0.0
2017-10-31,24.8,$-23.60,0.0
2017-07-31,26.0,$-24.60,0.0
2017-04-30,28.6,$-54.60,0.0
2017-01-31,52.6,$-88.40,0.0
2016-10-31,46.4,$-102.00,0.0
2016-07-31,183.8,$-131.20,0.0
2016-04-30,37.8,$-144.80,0.0
2016-01-31,33.0,$-141.20,0.0
2015-10-31,46.2,$-144.20,0.0
2015-07-31,108.2,$-160.00,0.0
2015-04-30,112.0,$-150.00,0.0
2015-01-31,85.78,$-156.00,0.0
2014-10-31,198.64,$-144.00,0.0
2014-07-31,276.0,$-156.00,0.0
2014-04-30,540.0,$-190.00,0.0
2014-01-31,464.0,$-226.00,0.0
2013-10-31,470.0,$-242.00,0.0
2013-07-31,314.0,$-272.00,0.0
2013-04-30,308.0,$-284.00,0.0
2013-01-31,426.0,$-284.00,0.0
2012-10-31,488.0,$-298.00,0.0
2012-07-31,480.2,$-282.00,0.0
2012-04-30,544.0,$-296.00,0.0
2012-01-31,574.0,$-320.00,0.0
2011-10-31,748.0,$-344.00,0.0
2011-07-31,658.0,$-376.00,0.0
2011-04-30,974.0,$-400.00,0.0
2011-01-31,1074.0,$-418.00,0.0
2010-10-31,1304.0,$-462.00,0.0
2010-07-31,1104.0,$-456.00,0.0
2010-04-30,1368.0,$-376.00,0.0
2010-01-31,1202.0,$-346.00,0.0
2009-10-31,1212.0,$-306.00,0.0
