Badger Meter PE Ratio Historical Data,Badger Meter PE Ratio Historical Data,Badger Meter PE Ratio Historical Data,Badger Meter PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,196.63,,46.48
2024-12-31,212.12,$4.23,50.15
2024-09-30,218.07,$4.03,54.11
2024-06-30,185.75,$3.83,48.5
2024-03-31,161.07,$3.47,46.42
2023-12-31,153.4,$3.14,48.85
2023-09-30,142.71,$2.90,49.21
2023-06-30,146.12,$2.63,55.56
2023-03-31,120.44,$2.44,49.36
2022-12-31,107.59,$2.27,47.4
2022-09-30,90.99,$2.26,40.26
2022-06-30,79.49,$2.19,36.3
2022-03-31,97.73,$2.10,46.54
2021-12-31,104.23,$2.08,50.11
2021-09-30,98.74,$1.94,50.9
2021-06-30,95.61,$1.91,50.06
2021-03-31,90.52,$1.76,51.43
2020-12-31,91.33,$1.70,53.72
2020-09-30,63.33,$1.67,37.92
2020-06-30,60.78,$1.60,37.99
2020-03-31,51.64,$1.66,31.11
2019-12-31,62.39,$1.62,38.51
2019-09-30,51.46,$1.59,32.36
2019-06-30,57.01,$1.25,45.61
2019-03-31,52.99,$1.07,49.53
2018-12-31,46.75,$0.96,48.7
2018-09-30,50.3,$0.82,61.35
2018-06-30,42.35,$0.99,42.78
2018-03-31,44.54,$1.14,39.07
2017-12-31,45.03,$1.18,38.16
2017-09-30,46.03,$1.14,40.38
2017-06-30,37.33,$1.17,31.9
2017-03-31,34.32,$1.14,30.24
2016-12-31,34.4,$1.11,30.99
2016-09-30,31.1,$1.09,28.53
2016-06-30,33.83,$1.08,31.32
2016-03-31,30.77,$1.03,29.87
2015-12-31,27.02,$0.90,30.03
2015-09-30,26.69,$0.92,29.01
2015-06-30,29.09,$0.99,29.53
2015-03-31,27.38,$1.02,26.97
2014-12-31,27.02,$1.03,26.24
2014-09-30,22.89,$1.04,22.01
2014-06-30,23.8,$1.00,23.8
2014-03-31,24.82,$0.92,27.13
2013-12-31,24.47,$0.86,28.62
2013-09-30,20.81,$0.83,25.07
2013-06-30,19.86,$0.83,24.07
2013-03-31,23.76,$0.87,27.47
2012-12-31,20.98,$0.98,21.52
2012-09-30,16.04,$0.82,19.56
2012-06-30,16.47,$0.74,22.26
2012-03-31,14.85,$0.74,20.06
2011-12-31,12.79,$0.64,19.99
2011-09-30,12.51,$0.81,15.44
2011-06-30,15.92,$0.88,18.09
2011-03-31,17.67,$0.89,19.96
2010-12-31,18.89,$0.96,19.78
2010-09-30,17.24,$0.92,18.84
2010-06-30,16.41,$1.10,14.99
2010-03-31,16.29,$1.09,14.94
2009-12-31,16.78,$1.15,14.66
