Coherus BioSciences PE Ratio Historical Data,Coherus BioSciences PE Ratio Historical Data,Coherus BioSciences PE Ratio Historical Data,Coherus BioSciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.95,,1.5
2024-12-31,1.38,$0.63,2.19
2024-09-30,1.04,$-0.08,0.0
2024-06-30,1.73,$-0.40,0.0
2024-03-31,2.39,$-0.78,0.0
2023-12-31,3.33,$-2.57,0.0
2023-09-30,3.74,$-2.62,0.0
2023-06-30,4.27,$-3.32,0.0
2023-03-31,6.84,$-3.48,0.0
2022-12-31,7.92,$-3.76,0.0
2022-09-30,9.61,$-3.60,0.0
2022-06-30,7.24,$-2.98,0.0
2022-03-31,12.91,$-2.73,0.0
2021-12-31,15.96,$-3.86,0.0
2021-09-30,16.07,$-3.14,0.0
2021-06-30,13.83,$-2.32,0.0
2021-03-31,14.61,$-1.22,0.0
2020-12-31,17.38,$1.63,10.66
2020-09-30,18.34,$2.04,8.99
2020-06-30,17.86,$2.34,7.63
2020-03-31,16.22,$1.96,8.28
2019-12-31,18.01,$1.19,15.13
2019-09-30,20.26,$-0.26,0.0
2019-06-30,22.1,$-1.76,0.0
2019-03-31,13.64,$-2.76,0.0
2018-12-31,9.05,$-3.21,0.0
2018-09-30,16.5,$-3.13,0.0
2018-06-30,14.0,$-3.35,0.0
2018-03-31,11.05,$-3.75,0.0
2017-12-31,8.8,$-4.55,0.0
2017-09-30,13.35,$-5.42,0.0
2017-06-30,14.35,$-2.66,0.0
2017-03-31,21.15,$-3.30,0.0
2016-12-31,28.15,$-3.43,0.0
2016-09-30,26.78,$-3.07,0.0
2016-06-30,16.89,$-6.60,0.0
2016-03-31,21.23,$-6.44,0.0
2015-12-31,22.96,$-5.99,0.0
2015-09-30,20.04,$-6.11,0.0
