ClearOne PE Ratio Historical Data,ClearOne PE Ratio Historical Data,ClearOne PE Ratio Historical Data,ClearOne PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.62,,0.0
2024-09-30,0.62,$-0.18,0.0
2024-06-30,0.65,$-0.15,0.0
2024-03-31,1.24,$-0.07,0.0
2023-12-31,0.73,$-0.02,0.0
2023-09-30,0.51,$0.84,0.61
2023-06-30,0.56,$0.85,0.66
2023-03-31,0.54,$0.88,0.61
2022-12-31,0.54,$0.83,0.66
2022-09-30,0.19,$-0.24,0.0
2022-06-30,0.19,$-0.30,0.0
2022-03-31,0.33,$-0.37,0.0
2021-12-31,0.46,$-0.38,0.0
2021-09-30,0.84,$0.01,0.0
2021-06-30,0.98,$0.05,19.61
2021-03-31,1.29,$0.01,0.0
2020-12-31,0.81,$-0.01,0.0
2020-09-30,0.82,$-0.42,0.0
2020-06-30,0.72,$-0.47,0.0
2020-03-31,0.6,$-0.48,0.0
2019-12-31,0.59,$-0.51,0.0
2019-09-30,0.65,$-0.62,0.0
2019-06-30,0.8,$-1.72,0.0
2019-03-31,0.72,$-1.85,0.0
2018-12-31,0.45,$-1.93,0.0
2018-09-30,0.79,$-2.13,0.0
2018-06-30,1.38,$-2.00,0.0
2018-03-31,2.85,$-1.83,0.0
2017-12-31,3.18,$-1.66,0.0
2017-09-30,2.62,$-1.35,0.0
2017-06-30,3.28,$-0.13,0.0
2017-03-31,3.44,$0.06,57.32
2016-12-31,3.92,$0.25,15.69
2016-09-30,3.85,$0.53,7.26
2016-06-30,3.82,$0.65,5.88
2016-03-31,3.94,$0.71,5.55
2015-12-31,4.37,$0.70,6.24
2015-09-30,3.96,$0.82,4.82
2015-06-30,4.32,$0.74,5.84
2015-03-31,3.56,$0.68,5.24
2014-12-31,3.26,$0.60,5.44
2014-09-30,2.79,$0.51,5.47
2014-06-30,3.25,$0.52,6.25
2014-03-31,3.39,$0.53,6.39
2013-12-31,2.9,$0.56,5.18
2013-09-30,2.68,$3.04,0.88
2013-06-30,2.81,$2.96,0.95
2013-03-31,2.87,$2.91,0.99
2012-12-31,1.33,$2.88,0.46
2012-09-30,1.34,$0.36,3.72
2012-06-30,1.35,$0.62,2.18
2012-03-31,1.49,$0.70,2.13
2011-12-31,1.43,$0.74,1.93
2011-09-30,1.63,$0.68,2.39
2011-06-30,2.17,$0.43,5.04
2011-03-31,2.23,$0.33,6.75
2010-12-31,1.27,$0.26,4.87
2010-09-30,1.13,$0.17,6.65
2010-06-30,0.99,$0.06,16.53
2010-03-31,1.0,$-0.02,0.0
2009-12-31,1.04,0,0.0
