"Grifols, S.A PE Ratio Historical Data","Grifols, S.A PE Ratio Historical Data","Grifols, S.A PE Ratio Historical Data","Grifols, S.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.9,,71.82
2024-09-30,8.88,$0.11,80.73
2024-06-30,6.31,$0.25,25.22
2023-06-30,9.16,$0.47,19.49
2023-03-31,7.37,$0.66,11.17
2022-06-30,11.88,$0.97,12.25
2021-06-30,17.35,$1.06,16.37
2019-06-30,20.09,$1.03,19.51
2018-06-30,19.93,$0.98,20.33
2017-06-30,19.18,$0.90,21.31
2017-03-31,17.0,$0.91,18.68
2016-12-31,14.47,$0.90,16.08
2016-09-30,14.2,$0.67,21.19
2016-06-30,14.82,$0.67,22.12
2016-03-31,13.62,$0.65,21.12
2015-12-31,14.26,$0.66,21.61
2015-09-30,13.23,$0.88,15.12
2015-06-30,13.48,$0.87,15.58
2015-03-31,14.12,$0.85,16.61
2014-12-31,14.63,$0.88,16.62
2014-09-30,14.98,$0.81,18.5
2014-06-30,18.79,$0.76,24.89
2014-03-31,17.5,$0.74,23.81
2013-12-31,15.3,$0.67,22.84
2013-09-30,12.83,$0.62,20.69
2013-06-30,12.07,$0.57,21.02
2013-03-31,12.17,$0.52,23.5
2012-12-31,10.88,$0.47,23.08
2012-09-30,9.12,$0.39,23.65
2012-06-30,7.67,$0.32,23.7
