Superior Group Of PE Ratio Historical Data,Superior Group Of PE Ratio Historical Data,Superior Group Of PE Ratio Historical Data,Superior Group Of PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.83,,17.75
2024-12-31,16.53,$0.61,27.1
2024-09-30,15.36,$0.83,18.5
2024-06-30,18.55,$0.69,26.88
2024-03-31,16.09,$0.73,22.04
2023-12-31,13.02,$0.55,23.67
2023-09-30,7.41,$0.47,15.77
2023-06-30,8.75,$-0.52,0.0
2023-03-31,7.26,$-2.30,0.0
2022-12-31,9.16,$-2.04,0.0
2022-09-30,7.97,$-1.93,0.0
2022-06-30,15.79,$-0.62,0.0
2022-03-31,15.75,$1.36,11.58
2021-12-31,19.24,$1.70,11.32
2021-09-30,20.33,$2.24,9.08
2021-06-30,20.76,$2.36,8.8
2021-03-31,21.97,$3.08,7.13
2020-12-31,20.01,$2.64,7.58
2020-09-30,19.92,$2.05,9.72
2020-06-30,11.39,$1.68,6.78
2020-03-31,7.19,$0.86,8.36
2019-12-31,11.4,$0.80,14.25
2019-09-30,13.48,$0.90,14.98
2019-06-30,14.23,$1.03,13.81
2019-03-31,13.72,$1.10,12.47
2018-12-31,14.49,$1.10,13.17
2018-09-30,15.53,$0.92,16.88
2018-06-30,16.82,$0.86,19.56
2018-03-31,21.25,$0.90,23.61
2017-12-31,21.52,$1.00,21.52
2017-09-30,18.38,$1.18,15.57
2017-06-30,17.86,$1.14,15.66
2017-03-31,14.79,$1.06,13.96
2016-12-31,15.53,$0.95,16.34
2016-09-30,15.59,$0.88,17.71
2016-06-30,14.96,$0.87,17.2
2016-03-31,13.9,$0.91,15.28
2015-12-31,13.18,$0.90,14.65
2015-09-30,13.85,$0.87,15.92
2015-06-30,12.72,$0.83,15.32
2015-03-31,14.53,$0.87,16.79
2014-12-31,11.2,$0.82,13.74
2014-09-30,8.2,$0.74,11.09
2014-06-30,6.1,$0.62,9.84
2014-03-31,5.48,$0.45,12.17
2013-12-31,5.73,$0.46,12.45
2013-09-30,4.57,$0.38,12.2
2013-06-30,3.96,$0.36,11.14
2013-03-31,4.39,$0.32,13.73
2012-12-31,4.2,$0.25,17.13
2012-09-30,4.15,$0.27,15.67
2012-06-30,4.0,$0.32,12.51
2012-03-31,3.97,$0.32,12.62
2011-12-31,4.11,$0.34,12.08
2011-09-30,3.68,$0.36,10.21
2011-06-30,3.83,$0.32,11.96
2011-03-31,3.67,$0.33,11.12
2010-12-31,3.51,$0.33,10.81
2010-09-30,2.9,$0.29,9.99
2010-06-30,3.05,$0.28,10.9
2010-03-31,3.02,$0.26,11.84
2009-12-31,2.95,$0.17,17.35
