ProQR Therapeutics PE Ratio Historical Data,ProQR Therapeutics PE Ratio Historical Data,ProQR Therapeutics PE Ratio Historical Data,ProQR Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.63,,0.0
2024-12-31,2.65,$-0.24,0.0
2024-09-30,1.82,$-0.32,0.0
2024-06-30,1.66,$-0.29,0.0
2024-03-31,2.29,$-0.37,0.0
2023-12-31,1.98,$-0.39,0.0
2023-09-30,1.3,$-0.47,0.0
2023-06-30,1.62,$-0.73,0.0
2023-03-31,2.13,$-0.84,0.0
2022-12-31,3.7,$-0.94,0.0
2022-09-30,0.74,$-1.08,0.0
2022-06-30,0.78,$-1.00,0.0
2022-03-31,0.91,$-1.07,0.0
2021-12-31,8.01,$-1.15,0.0
2021-09-30,8.37,$-1.16,0.0
2021-06-30,6.74,$-1.26,0.0
2021-03-31,6.61,$-1.06,0.0
2020-12-31,4.2,$-1.11,0.0
2020-09-30,4.79,$-1.23,0.0
2020-06-30,6.08,$-1.22,0.0
2020-03-31,5.49,$-1.47,0.0
2019-12-31,9.91,$-1.53,0.0
2019-09-30,5.76,$-1.48,0.0
2019-06-30,9.1,$-1.34,0.0
2019-03-31,13.87,$-1.27,0.0
2018-12-31,15.78,$-1.27,0.0
2018-09-30,19.35,$-1.35,0.0
2018-06-30,7.3,$-1.63,0.0
2018-03-31,3.08,$-1.88,0.0
2017-12-31,3.23,$-1.95,0.0
2017-09-30,4.85,$-1.90,0.0
2017-06-30,5.2,$-1.89,0.0
2017-03-31,5.0,$-1.85,0.0
2016-12-31,4.9,$-1.85,0.0
2016-09-30,6.67,$-1.73,0.0
2016-06-30,4.84,$-1.55,0.0
2016-03-31,4.88,$-1.48,0.0
2015-12-31,8.68,$-0.99,0.0
2015-09-30,14.57,$-1.00,0.0
2015-06-30,16.67,$-1.23,0.0
