Midland States Bancorp PE Ratio Historical Data,Midland States Bancorp PE Ratio Historical Data,Midland States Bancorp PE Ratio Historical Data,Midland States Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.03,,7.81
2024-09-30,22.12,$2.31,9.58
2024-06-30,22.07,$2.28,9.68
2024-03-31,24.17,$2.94,8.22
2023-12-31,26.18,$3.27,8.01
2023-09-30,19.27,$3.73,5.16
2023-06-30,18.43,$4.06,4.54
2023-03-31,19.52,$4.17,4.68
2022-12-31,23.98,$4.23,5.67
2022-09-30,21.02,$3.95,5.32
2022-06-30,21.22,$3.77,5.63
2022-03-31,25.18,$3.68,6.84
2021-12-31,21.42,$3.57,6.0
2021-09-30,21.13,$2.91,7.26
2021-06-30,22.21,$2.05,10.83
2021-03-31,23.22,$1.70,13.66
2020-12-31,14.76,$0.83,17.78
2020-09-30,10.45,$0.98,10.67
2020-06-30,11.95,$1.49,8.02
2020-03-31,13.7,$1.63,8.41
2019-12-31,22.47,$2.26,9.94
2019-09-30,20.04,$2.42,8.28
2019-06-30,20.36,$2.26,9.01
2019-03-31,18.17,$2.11,8.61
2018-12-31,16.7,$1.62,10.31
2018-09-30,23.8,$1.05,22.67
2018-06-30,25.24,$0.80,31.55
2018-03-31,23.09,$0.48,48.11
2017-12-31,23.6,$0.92,25.65
2017-09-30,22.87,$1.54,14.85
2017-06-30,24.03,$1.95,12.33
2017-03-31,24.52,$2.25,10.9
