Viemed Healthcare PE Ratio Historical Data,Viemed Healthcare PE Ratio Historical Data,Viemed Healthcare PE Ratio Historical Data,Viemed Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.36,,40.89
2024-12-31,8.02,$0.18,44.56
2024-09-30,7.33,$0.27,27.15
2024-06-30,6.55,$0.24,27.29
2024-03-31,9.43,$0.26,36.27
2023-12-31,7.85,$0.26,30.19
2023-09-30,6.73,$0.23,29.26
2023-06-30,9.78,$0.19,51.47
2023-03-31,9.66,$0.15,64.4
2022-12-31,7.56,$0.15,50.4
2022-09-30,6.0,$0.19,31.58
2022-06-30,5.38,$0.20,26.9
2022-03-31,4.98,$0.22,22.64
2021-12-31,5.22,$0.22,23.73
2021-09-30,5.55,$0.24,23.13
2021-06-30,7.15,$0.27,26.48
2021-03-31,10.12,$0.71,14.25
2020-12-31,7.76,$0.78,9.95
2020-09-30,8.64,$0.72,12.0
2020-06-30,9.6,$0.72,13.33
