United Homes PE Ratio Historical Data,United Homes PE Ratio Historical Data,United Homes PE Ratio Historical Data,United Homes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.58,,0.0
2024-09-30,6.14,$-0.59,0.0
2024-06-30,5.69,$1.91,2.98
2024-03-31,6.99,$5.68,1.23
2023-12-31,8.43,$-0.20,0.0
2023-09-30,5.6,$1.18,4.75
2023-06-30,11.16,$-1.17,0.0
2023-03-31,20.8,$-5.44,0.0
2022-12-31,10.05,0,0.0
2022-09-30,9.85,0,0.0
2022-06-30,9.83,0,0.0
2022-03-31,9.79,0,0.0
2021-12-31,9.74,0,0.0
