Oblong PE Ratio Historical Data,Oblong PE Ratio Historical Data,Oblong PE Ratio Historical Data,Oblong PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.33,,0.0
2024-12-31,3.88,$-15.65,0.0
2024-09-30,4.23,$-15.65,0.0
2024-06-30,7.07,$-16.40,0.0
2024-03-31,5.44,$-46.00,0.0
2023-12-31,7.92,$-67.20,0.0
2023-09-30,16.8,$-67.20,0.0
2023-06-30,56.4,$-193.13,0.0
2023-03-31,65.6,$-335.84,0.0
2022-12-31,70.56,$-401.80,0.0
2022-09-30,89.88,$-455.77,0.0
2022-06-30,186.0,$-329.84,0.0
2022-03-31,393.36,$-203.90,0.0
2021-12-31,618.0,$-251.87,0.0
2021-09-30,1260.0,$-71.96,0.0
2021-06-30,2040.0,$-299.85,0.0
2021-03-31,2988.0,$-641.68,0.0
2020-12-31,3084.0,$-863.57,0.0
2020-09-30,1380.0,$-989.51,0.0
2020-06-30,893.94,$-821.59,0.0
2020-03-31,723.0,$-533.73,0.0
2019-12-31,834.0,$-245.88,0.0
2019-09-30,577.5,$-245.88,0.0
2019-06-30,642.0,$-353.82,0.0
2019-03-31,816.0,$-491.75,0.0
2018-12-31,756.0,$-599.70,0.0
2018-09-30,987.6,$-599.70,0.0
2018-06-30,1227.6,$719.64,1.71
2018-03-31,1327.8,$839.58,1.58
2017-12-31,2160.0,$899.55,2.4
2017-09-30,1503.0,$839.58,1.79
2017-06-30,1692.0,$-599.70,0.0
2017-03-31,1764.0,$-599.70,0.0
2016-12-31,1596.0,$-599.70,0.0
2016-09-30,1680.6,$-719.64,0.0
2016-06-30,1770.6,$-539.73,0.0
2016-03-31,2340.0,$-479.76,0.0
2015-12-31,2985.0,$-419.79,0.0
2015-09-30,3474.0,$-599.70,0.0
2015-06-30,4875.0,$-419.79,0.0
2015-03-31,5452.8,$-359.82,0.0
2014-12-31,6600.0,$-419.79,0.0
2014-09-30,7800.0,$-299.85,0.0
2014-06-30,9000.0,$-419.79,0.0
2014-03-31,10080.0,$-479.76,0.0
2013-12-31,8280.0,$-779.61,0.0
2013-09-30,8040.0,$-299.85,0.0
2013-06-30,4080.0,$-359.82,0.0
2013-03-31,8820.0,$-239.88,0.0
2012-12-31,11940.0,$239.88,49.77
2012-09-30,12720.0,$59.97,212.11
2012-06-30,12660.0,$179.91,70.37
2012-03-31,16200.0,$119.94,135.07
2011-12-31,14100.0,$59.97,235.12
2011-09-30,14040.0,$-119.94,0.0
2011-06-30,12480.0,$-359.82,0.0
2011-03-31,12480.0,$-599.70,0.0
2010-12-31,15120.0,"$-1,079.46",0.0
2010-09-30,12000.0,$-959.52,0.0
2010-06-30,13200.0,$-479.76,0.0
2010-03-31,15120.0,$-239.88,0.0
2009-12-31,16560.0,"$-2,158.92",0.0
