Murphy USA PE Ratio Historical Data,Murphy USA PE Ratio Historical Data,Murphy USA PE Ratio Historical Data,Murphy USA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,438.82,,18.13
2024-12-31,501.75,$24.20,20.73
2024-09-30,492.38,$24.24,20.31
2024-06-30,468.58,$24.73,18.95
2024-03-31,418.0,$23.83,17.54
2023-12-31,355.18,$25.51,13.92
2023-09-30,340.04,$23.72,14.34
2023-06-30,309.19,$25.31,12.22
2023-03-31,256.12,$26.82,9.55
2022-12-31,277.07,$28.10,9.86
2022-09-30,272.17,$27.12,10.04
2022-06-30,230.3,$21.82,10.55
2022-03-31,197.52,$19.08,10.35
2021-12-31,196.49,$15.01,13.09
2021-09-30,164.68,$12.94,12.73
2021-06-30,131.1,$11.23,11.67
2021-03-31,141.85,$12.17,11.66
2020-12-31,128.16,$13.08,9.8
2020-09-30,125.38,$12.46,10.06
2020-06-30,110.05,$12.37,8.9
2020-03-31,82.46,$7.65,10.78
2019-12-31,114.36,$4.89,23.39
2019-09-30,83.38,$5.73,14.55
2019-06-30,82.13,$4.93,16.66
2019-03-31,83.69,$5.50,15.22
2018-12-31,74.91,$6.50,11.52
2018-09-30,83.53,$7.70,10.85
2018-06-30,72.61,$8.22,8.83
2018-03-31,71.16,$8.15,8.73
2017-12-31,78.55,$6.91,11.37
2017-09-30,67.44,$4.47,15.09
2017-06-30,72.44,$3.73,19.42
2017-03-31,71.76,$3.39,21.17
2016-12-31,60.08,$5.55,10.83
2016-09-30,69.75,$5.99,11.64
2016-06-30,72.49,$6.24,11.62
2016-03-31,60.06,$5.66,10.61
2015-12-31,59.37,$4.08,14.55
2015-09-30,53.71,$4.63,11.6
2015-06-30,54.56,$4.58,11.91
2015-03-31,70.74,$5.56,12.72
2014-12-31,67.31,$5.27,12.77
2014-09-30,51.86,$5.14,10.09
2014-06-30,47.79,$4.67,10.23
