PHX Minerals PE Ratio Historical Data,PHX Minerals PE Ratio Historical Data,PHX Minerals PE Ratio Historical Data,PHX Minerals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.1,,68.33
2024-12-31,4.0,$0.06,66.67
2024-09-30,3.34,$0.13,25.72
2024-06-30,3.19,$0.15,21.25
2024-03-31,3.33,$0.11,30.31
2023-12-31,3.12,$0.39,8.0
2023-09-30,3.49,$0.32,10.92
2023-06-30,2.97,$0.53,5.61
2023-03-31,2.48,$0.78,3.18
2022-12-31,3.65,$0.39,9.37
2022-09-30,3.03,$0.59,5.13
2022-06-30,2.82,$0.33,8.56
2022-03-31,2.82,$0.03,94.16
2021-12-31,1.99,$0.13,15.31
2021-09-30,2.8,$-0.10,0.0
2021-06-30,3.39,$-0.10,0.0
2021-03-31,2.6,$-0.26,0.0
2020-12-31,2.08,$-1.45,0.0
2020-09-30,1.29,$-1.31,0.0
2020-06-30,2.4,$-1.31,0.0
2020-03-31,3.3,$-0.82,0.0
2019-12-31,9.95,$0.28,35.54
2019-09-30,12.37,$0.92,13.45
2019-06-30,11.5,$0.92,12.5
2019-03-31,13.8,$0.59,23.4
2018-12-31,13.59,$0.76,17.89
2018-09-30,16.14,$0.82,19.68
2018-06-30,16.67,$0.82,20.34
2018-03-31,16.82,$0.94,17.89
2017-12-31,17.87,$1.09,16.39
2017-09-30,20.65,$0.15,137.69
2017-06-30,20.0,$0.15,133.37
2017-03-31,16.59,$0.03,553.1
2016-12-31,20.31,$-0.62,0.0
2016-09-30,15.09,$-0.66,0.0
2016-06-30,14.32,$-0.66,0.0
2016-03-31,14.84,$-0.65,0.0
2015-12-31,13.81,$-0.17,0.0
2015-09-30,13.78,$0.61,22.59
2015-06-30,17.61,$0.61,28.87
2015-03-31,16.81,$0.96,17.6
2014-12-31,19.74,$1.26,15.73
2014-09-30,25.27,$0.94,26.88
2014-06-30,23.68,$0.94,25.19
2014-03-31,18.41,$0.94,19.58
2013-12-31,14.07,$0.66,21.32
2013-09-30,11.88,$0.50,24.0
2013-06-30,11.94,$0.50,24.13
2013-03-31,11.98,$0.38,31.94
2012-12-31,11.77,$0.36,33.16
2012-09-30,12.76,$0.43,29.66
2012-06-30,12.51,$0.43,29.08
2012-03-31,12.2,$0.41,30.12
2011-12-31,13.51,$0.47,28.76
2011-09-30,11.66,$0.35,33.32
2011-06-30,12.09,$0.35,34.55
2011-03-31,12.95,$0.28,46.25
2010-12-31,11.19,$0.48,23.31
2010-09-30,10.05,$0.50,20.3
2010-06-30,10.72,$0.50,21.66
2010-03-31,9.56,$0.35,27.32
2009-12-31,10.45,$-0.01,0.0
