Enzo Biochem PE Ratio Historical Data,Enzo Biochem PE Ratio Historical Data,Enzo Biochem PE Ratio Historical Data,Enzo Biochem PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.49,,0.0
2024-10-31,1.05,$-0.19,0.0
2024-07-31,1.04,$-0.25,0.0
2024-04-30,0.95,$-0.25,0.0
2024-01-31,1.15,$-0.50,0.0
2023-10-31,1.22,$-0.67,0.0
2023-07-31,1.35,$-0.76,0.0
2023-04-30,2.31,$-0.93,0.0
2023-01-31,1.22,$-0.72,0.0
2022-10-31,1.95,$-0.54,0.0
2022-07-31,2.16,$-0.37,0.0
2022-04-30,2.33,$-0.13,0.0
2022-01-31,2.94,$0.01,293.75
2021-10-31,3.14,$0.11,28.53
2021-07-31,2.97,$0.17,17.49
2021-04-30,2.8,$0.03,93.36
2021-01-31,2.57,$-0.22,0.0
2020-10-31,1.66,$-0.43,0.0
2020-07-31,2.17,$-0.60,0.0
2020-04-30,2.76,$-0.64,0.0
2020-01-31,2.29,$0.04,57.25
2019-10-31,2.88,$0.02,144.14
2019-07-31,3.57,$0.05,71.34
2019-04-30,3.17,$0.04,79.14
2019-01-31,3.43,$-0.49,0.0
2018-10-31,3.03,$-0.33,0.0
2018-07-31,4.03,$-0.21,0.0
2018-04-30,5.47,$-0.09,0.0
2018-01-31,6.71,$-0.03,0.0
2017-10-31,8.99,$-0.03,0.0
2017-07-31,9.9,$-0.05,0.0
2017-04-30,8.03,$0.72,11.15
2017-01-31,6.09,$0.67,9.1
2016-10-31,5.56,$0.84,6.62
2016-07-31,6.36,$0.97,6.56
2016-04-30,4.54,$0.38,11.96
2016-01-31,4.32,$0.37,11.69
2015-10-31,3.39,$0.13,26.11
2015-07-31,2.74,$-0.05,0.0
2015-04-30,2.55,$-0.30,0.0
2015-01-31,2.87,$-0.25,0.0
2014-10-31,4.76,$-0.25,0.0
2014-07-31,4.38,$-0.24,0.0
2014-04-30,3.83,$-0.25,0.0
2014-01-31,2.56,$-0.39,0.0
2013-10-31,2.27,$-0.44,0.0
2013-07-31,1.99,$-0.46,0.0
2013-04-30,2.04,$-1.07,0.0
2013-01-31,2.64,$-1.01,0.0
2012-10-31,1.82,$-0.98,0.0
2012-07-31,1.37,$-1.01,0.0
2012-04-30,2.5,$-0.43,0.0
2012-01-31,2.33,$-0.39,0.0
2011-10-31,2.61,$-0.43,0.0
2011-07-31,3.5,$-0.34,0.0
2011-04-30,3.64,$-0.38,0.0
2011-01-31,4.52,$-0.45,0.0
2010-10-31,3.93,$-0.57,0.0
2010-07-31,4.2,$-0.59,0.0
2010-04-30,5.45,$-0.58,0.0
2010-01-31,4.32,$-0.57,0.0
2009-10-31,5.03,$-0.50,0.0
