Nordic American Tankers PE Ratio Historical Data,Nordic American Tankers PE Ratio Historical Data,Nordic American Tankers PE Ratio Historical Data,Nordic American Tankers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.64,,9.1
2024-09-30,3.67,$0.29,12.66
2024-06-30,3.85,$0.29,13.28
2024-03-31,3.68,$0.32,11.51
2023-12-31,3.83,$0.47,8.14
2023-09-30,3.7,$0.56,6.61
2023-06-30,3.19,$0.57,5.59
2023-03-31,3.31,$0.42,7.87
2022-12-31,2.46,$0.06,41.0
2022-09-30,2.12,$-0.23,0.0
2022-06-30,1.67,$-0.55,0.0
2022-03-31,1.66,$-0.71,0.0
2021-12-31,1.31,$-0.73,0.0
2021-09-30,1.97,$-0.80,0.0
2021-06-30,2.52,$-0.60,0.0
2021-03-31,2.48,$-0.42,0.0
2020-12-31,2.24,$0.01,223.7
2020-09-30,2.61,$0.29,9.01
2020-06-30,2.9,$0.26,11.15
2020-03-31,3.14,$0.15,20.91
2019-12-31,3.33,$-0.08,0.0
2019-09-30,1.46,$-0.24,0.0
2019-06-30,1.57,$-0.41,0.0
2019-03-31,1.34,$-0.49,0.0
2018-12-31,1.3,$-0.66,0.0
2018-09-30,1.31,$-0.75,0.0
2018-06-30,1.67,$-0.51,0.0
2018-03-31,1.2,$-0.34,0.0
2017-06-30,3.78,$-0.29,0.0
2017-03-31,4.74,$0.02,236.97
2016-12-31,4.76,$0.38,12.52
2016-09-30,5.57,$0.74,7.52
2016-06-30,7.49,$1.11,6.75
2016-03-31,7.39,$1.31,5.64
2015-12-31,7.88,$1.32,5.97
2015-09-30,7.52,$0.98,7.67
2015-06-30,6.86,$0.70,9.8
2015-03-31,5.56,$0.16,34.73
2014-12-31,4.61,$-0.18,0.0
2014-09-30,3.57,$-0.18,0.0
2014-06-30,4.15,$-0.19,0.0
2014-03-31,4.18,$-0.48,0.0
2013-12-31,4.07,$-1.07,0.0
2013-09-30,3.33,$-1.68,0.0
2013-06-30,3.01,$-2.12,0.0
2013-03-31,4.51,$-1.79,0.0
2012-12-31,3.36,$-1.38,0.0
2012-09-30,3.75,$-1.14,0.0
2012-06-30,4.93,$-1.16,0.0
2012-03-31,5.64,$-1.22,0.0
2011-12-31,4.17,$-1.19,0.0
2011-09-30,4.8,$-1.09,0.0
2011-06-30,7.61,$-0.75,0.0
2011-03-31,8.21,$-0.37,0.0
2010-12-31,8.51,$-0.01,0.0
2010-09-30,8.67,$0.26,33.35
2010-06-30,8.92,$0.10,89.16
2010-03-31,9.42,$-0.07,0.0
2009-12-31,9.26,$0.18,51.42
