Lam Research PE Ratio Historical Data,Lam Research PE Ratio Historical Data,Lam Research PE Ratio Historical Data,Lam Research PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,77.55,,23.56
2024-12-31,72.23,$3.29,21.94
2024-09-30,81.37,$3.09,26.3
2024-06-30,105.86,$2.90,36.5
2024-03-31,96.41,$2.72,35.46
2023-12-31,77.56,$2.59,29.99
2023-09-30,61.89,$2.94,21.04
2023-06-30,63.29,$3.31,19.1
2023-03-31,52.04,$3.59,14.49
2022-12-31,41.12,$3.72,11.05
2022-09-30,35.68,$3.49,10.23
2022-06-30,41.37,$3.28,12.63
2022-03-31,52.02,$3.20,16.26
2021-12-31,69.37,$3.21,21.61
2021-09-30,54.78,$2.96,18.49
2021-06-30,62.48,$2.69,23.19
2021-03-31,57.04,$2.37,24.08
2020-12-31,45.15,$2.02,22.39
2020-09-30,31.63,$1.76,17.94
2020-06-30,30.72,$1.51,20.31
2020-03-31,22.71,$1.39,16.33
2019-12-31,27.53,$1.35,20.39
2019-09-30,21.67,$1.36,15.96
2019-06-30,17.52,$1.37,12.77
2019-03-31,16.6,$1.60,10.36
2018-12-31,12.55,$1.69,7.43
2018-09-30,13.88,$1.33,10.42
2018-06-30,15.71,$1.33,11.81
2018-03-31,18.36,$1.03,17.83
2017-12-31,16.6,$0.91,18.3
2017-09-30,16.64,$1.09,15.21
2017-06-30,12.68,$0.92,13.79
2017-03-31,11.48,$0.78,14.64
2016-12-31,9.42,$0.56,16.94
2016-09-30,8.4,$0.50,16.7
2016-06-30,7.43,$0.52,14.24
2016-03-31,7.28,$0.45,16.17
2015-12-31,6.97,$0.48,14.4
2015-09-30,5.71,$0.46,12.52
2015-06-30,7.08,$0.37,19.14
2015-03-31,6.09,$0.43,14.13
2014-12-31,6.87,$0.41,16.7
2014-09-30,6.45,$0.40,16.21
2014-06-30,5.82,$0.37,15.82
2014-03-31,4.72,$0.28,16.69
2013-12-31,4.68,$0.20,23.62
2013-09-30,4.4,$0.12,38.24
2013-06-30,3.81,$0.07,56.84
2013-03-31,3.56,$0.03,118.7
2012-12-31,3.1,$0.06,54.44
2012-09-30,2.73,$0.08,34.12
2012-06-30,3.24,$0.14,23.83
2012-03-31,3.83,$0.22,17.11
2011-12-31,3.18,$0.33,9.61
2011-09-30,3.26,$0.48,6.77
2011-06-30,3.8,$0.58,6.57
2011-03-31,4.87,$0.59,8.28
2010-12-31,4.45,$0.54,8.28
2010-09-30,3.59,$0.41,8.7
2010-06-30,3.27,$0.27,12.06
2010-03-31,3.21,$0.09,35.22
2009-12-31,3.37,$-0.16,0.0
