Cue Biopharma PE Ratio Historical Data,Cue Biopharma PE Ratio Historical Data,Cue Biopharma PE Ratio Historical Data,Cue Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.96,,0.0
2024-09-30,0.76,$-0.90,0.0
2024-06-30,1.24,$-0.97,0.0
2024-03-31,1.89,$-1.06,0.0
2023-12-31,2.64,$-1.10,0.0
2023-09-30,2.3,$-1.19,0.0
2023-06-30,3.65,$-1.26,0.0
2023-03-31,3.57,$-1.34,0.0
2022-12-31,2.85,$-1.49,0.0
2022-09-30,2.23,$-1.38,0.0
2022-06-30,2.49,$-1.48,0.0
2022-03-31,4.88,$-1.44,0.0
2021-12-31,11.31,$-1.41,0.0
2021-09-30,14.57,$-1.52,0.0
2021-06-30,11.65,$-1.45,0.0
2021-03-31,12.2,$-1.50,0.0
2020-12-31,12.51,$-1.57,0.0
2020-09-30,15.05,$-1.57,0.0
2020-06-30,24.51,$-1.54,0.0
2020-03-31,14.19,$-1.62,0.0
2019-12-31,15.88,$-1.68,0.0
2019-09-30,8.43,$-1.89,0.0
2019-06-30,8.99,$-2.20,0.0
2019-03-31,7.73,$-2.10,0.0
2018-12-31,4.7,$-1.93,0.0
