Bakkt Holdings PE Ratio Historical Data,Bakkt Holdings PE Ratio Historical Data,Bakkt Holdings PE Ratio Historical Data,Bakkt Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.52,,0.0
2024-09-30,9.57,$-12.23,0.0
2024-06-30,18.92,$-16.53,0.0
2024-03-31,0.46,$-18.61,0.0
2023-12-31,2.23,$-21.00,0.0
2023-09-30,1.17,$-44.75,0.0
2023-06-30,1.23,$-192.75,0.0
2023-03-31,1.72,$-189.25,0.0
2022-12-31,1.19,$-188.50,0.0
2022-09-30,2.28,$-157.50,0.0
2022-06-30,2.1,$-4.75,0.0
2022-03-31,6.16,$-3.50,0.0
2021-12-31,8.51,0,0.0
2021-09-30,10.11,0,0.0
