Crown Castle PE Ratio Historical Data,Crown Castle PE Ratio Historical Data,Crown Castle PE Ratio Historical Data,Crown Castle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,104.59,,52.56
2024-12-31,90.76,$1.99,45.61
2024-09-30,116.75,$2.82,41.4
2024-06-30,94.9,$2.73,34.76
2024-03-31,101.2,$3.20,31.62
2023-12-31,108.55,$3.46,31.37
2023-09-30,85.56,$3.58,23.9
2023-06-30,104.27,$3.94,26.46
2023-03-31,120.83,$3.86,31.3
2022-12-31,121.01,$3.86,31.35
2022-09-30,127.51,$3.72,34.28
2022-06-30,147.23,$3.56,41.36
2022-03-31,159.92,$3.36,47.6
2021-12-31,179.31,$2.67,67.16
2021-09-30,147.77,$3.03,48.77
2021-06-30,165.18,$2.60,63.53
2021-03-31,144.74,$2.24,64.62
2020-12-31,132.75,$2.34,56.73
2020-09-30,137.66,$1.60,86.04
2020-06-30,137.34,$1.80,76.3
2020-03-31,117.62,$1.91,61.58
2019-12-31,114.82,$1.97,58.29
2019-09-30,111.28,$1.98,56.2
2019-06-30,103.5,$1.73,59.83
2019-03-31,100.78,$1.57,64.19
2018-12-31,84.76,$1.34,63.26
2018-09-30,86.03,$1.07,80.4
2018-06-30,82.55,$0.95,86.89
2018-03-31,83.05,$0.90,92.28
2017-12-31,83.32,$1.02,81.68
2017-09-30,74.33,$1.20,61.94
2017-06-30,73.81,$1.25,59.05
2017-03-31,68.95,$1.16,59.44
2016-12-31,62.68,$0.94,66.68
2016-09-30,67.31,$0.98,68.69
2016-06-30,71.78,$1.00,71.78
2016-03-31,60.64,$4.20,14.44
2015-12-31,59.98,$4.43,13.54
2015-09-30,54.16,$4.45,12.17
2015-06-30,54.57,$4.46,12.24
2015-03-31,55.55,$1.11,50.04
2014-12-31,52.46,$1.04,50.45
2014-09-30,53.1,$0.52,102.12
2014-06-30,48.97,$0.39,125.56
2014-03-31,48.65,$0.50,97.31
2013-12-31,48.42,$0.28,172.93
2013-09-30,48.16,$0.32,150.49
2013-06-30,47.74,$0.30,159.12
2013-03-31,45.92,$0.52,88.31
2012-12-31,47.58,$0.64,74.35
2012-09-30,42.27,$0.87,48.59
2012-06-30,38.68,$0.88,43.96
2012-03-31,35.17,$0.57,61.71
2011-12-31,29.54,$0.52,56.81
2011-09-30,26.82,$0.48,55.87
2011-06-30,26.9,$-0.16,0.0
2011-03-31,28.06,$-0.61,0.0
2010-12-31,28.9,$-1.16,0.0
2010-09-30,29.11,$-1.24,0.0
2010-06-30,24.57,$-0.88,0.0
2010-03-31,25.21,$-0.93,0.0
2009-12-31,25.74,$-0.48,0.0
