Argan PE Ratio Historical Data,Argan PE Ratio Historical Data,Argan PE Ratio Historical Data,Argan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,120.59,,25.23
2024-10-31,132.04,$4.78,27.62
2024-07-31,78.69,$3.18,24.74
2024-04-30,59.84,$2.81,21.3
2024-01-31,43.81,$2.39,18.33
2023-10-31,44.91,$2.50,17.96
2023-07-31,37.1,$2.66,13.95
2023-04-30,38.98,$2.02,19.3
2023-01-31,37.53,$2.36,15.9
2022-10-31,33.15,$1.50,22.1
2022-07-31,35.26,$1.72,20.5
2022-04-30,34.66,$2.23,15.54
2022-01-31,34.77,$2.40,14.49
2021-10-31,38.36,$2.86,13.41
2021-07-31,41.56,$2.68,15.51
2021-04-30,46.11,$2.23,20.68
2021-01-31,39.56,$1.51,26.2
2020-10-31,36.67,$0.45,81.49
2020-07-31,37.96,$-0.59,0.0
2020-04-30,32.34,$-0.88,0.0
2020-01-31,36.03,$-2.74,0.0
2019-10-31,32.2,$-2.42,0.0
2019-07-31,34.78,$0.09,386.42
2019-04-30,40.17,$1.10,36.52
2019-01-31,35.29,$3.32,10.63
2018-10-31,36.57,$3.91,9.35
2018-07-31,31.72,$2.93,10.82
2018-04-30,32.82,$3.57,9.19
2018-01-31,35.54,$4.57,7.78
2017-10-31,56.04,$5.41,10.36
2017-07-31,51.75,$5.48,9.44
2017-04-30,53.68,$5.05,10.63
2017-01-31,59.22,$4.55,13.02
2016-10-31,45.65,$3.71,12.3
2016-07-31,36.38,$3.27,11.13
2016-04-30,26.96,$2.73,9.87
2016-01-31,23.75,$2.42,9.82
2015-10-31,29.14,$2.37,12.3
2015-07-31,30.07,$2.49,12.07
2015-04-30,24.99,$2.32,10.77
2015-01-31,23.52,$2.06,11.42
2014-10-31,26.92,$2.29,11.75
2014-07-31,25.63,$2.28,11.24
2014-04-30,20.24,$2.59,7.82
2014-01-31,21.48,$2.80,7.67
2013-10-31,16.82,$2.63,6.4
2013-07-31,11.57,$2.23,5.19
2013-04-30,12.93,$1.79,7.22
2013-01-31,13.73,$1.66,8.27
2012-10-31,12.99,$1.53,8.49
2012-07-31,11.15,$1.25,8.92
2012-04-30,10.28,$0.95,10.83
2012-01-31,10.23,$0.67,15.27
2011-10-31,9.59,$0.41,23.4
2011-07-31,7.07,$0.37,19.1
2011-04-30,6.4,$0.46,13.92
2011-01-31,6.32,$0.57,11.08
2010-10-31,5.77,$0.46,12.55
2010-07-31,5.68,$0.49,11.58
2010-04-30,7.74,$0.44,17.59
2010-01-31,9.68,$0.51,18.97
2009-10-31,8.41,$0.92,9.15
