Luna Innovations PE Ratio Historical Data,Luna Innovations PE Ratio Historical Data,Luna Innovations PE Ratio Historical Data,Luna Innovations PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-01-06,0.89,,0.0
2023-09-30,5.86,$-0.08,0.0
2023-06-30,9.12,$-0.05,0.0
2023-03-31,7.19,$-0.07,0.0
2022-12-31,8.79,$0.29,30.31
2022-09-30,4.44,$0.32,13.88
2022-06-30,5.83,$0.29,20.1
2022-03-31,7.71,$0.35,22.03
2021-12-31,8.44,$0.04,211.0
2021-09-30,9.5,$-0.01,0.0
2021-06-30,10.83,$0.08,135.38
2021-03-31,10.53,$0.13,81.0
2020-12-31,9.88,$0.11,89.82
2020-09-30,5.98,$0.18,33.22
2020-06-30,5.84,$0.11,53.09
2020-03-31,6.15,$0.09,68.33
2019-12-31,7.29,$0.15,48.6
2019-09-30,5.79,$0.11,52.64
2019-06-30,4.5,$0.35,12.86
2019-03-31,4.17,$0.36,11.58
2018-12-31,3.35,$0.33,10.15
2018-09-30,3.23,$0.31,10.42
2018-06-30,2.98,$0.52,5.73
2018-03-31,3.24,$0.48,6.75
2017-12-31,2.43,$0.43,5.65
2017-09-30,1.69,$0.43,3.93
2017-06-30,1.51,$-0.07,0.0
2017-03-31,1.73,$-0.09,0.0
2016-12-31,1.47,$-0.09,0.0
2016-09-30,1.41,$0.19,7.42
2016-06-30,1.24,$0.18,6.89
2016-03-31,1.05,$0.11,9.55
2015-12-31,1.08,$-0.02,0.0
2015-09-30,0.93,$-0.37,0.0
2015-06-30,1.03,$-0.39,0.0
2015-03-31,1.35,$-0.35,0.0
2014-12-31,1.42,$0.32,4.44
2014-09-30,1.39,$0.24,5.79
2014-06-30,1.37,$0.25,5.48
2014-03-31,1.47,$0.24,6.13
2013-12-31,1.4,$-0.08,0.0
2013-09-30,1.35,$0.02,67.51
2013-06-30,1.25,$0.04,31.25
2013-03-31,1.26,$0.09,14.0
2012-12-31,1.2,$-0.11,0.0
2012-09-30,1.66,$-0.10,0.0
2012-06-30,1.38,$-0.07,0.0
2012-03-31,1.67,$-0.07,0.0
2011-12-31,1.73,$-0.12,0.0
2011-09-30,1.21,$-0.13,0.0
2011-06-30,1.67,$-0.18,0.0
2011-03-31,2.47,$-0.21,0.0
2010-12-31,1.67,$-0.23,0.0
2010-09-30,2.0,$2.04,0.98
2010-06-30,2.2,$1.90,1.16
2010-03-31,2.29,$1.74,1.32
2009-12-31,2.14,$-1.82,0.0
