Heritage Financial PE Ratio Historical Data,Heritage Financial PE Ratio Historical Data,Heritage Financial PE Ratio Historical Data,Heritage Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.65,,19.07
2024-12-31,24.5,$1.24,19.76
2024-09-30,21.59,$1.08,19.99
2024-06-30,17.68,$1.26,14.03
2024-03-31,18.79,$1.33,14.13
2023-12-31,20.46,$1.75,11.69
2023-09-30,15.4,$2.21,6.97
2023-06-30,15.08,$2.29,6.59
2023-03-31,19.69,$2.33,8.45
2022-12-31,27.99,$2.31,12.12
2022-09-30,24.03,$2.22,10.82
2022-06-30,22.65,$2.21,10.25
2022-03-31,22.37,$2.59,8.64
2021-12-31,21.64,$2.73,7.93
2021-09-30,22.39,$2.84,7.89
2021-06-30,21.79,$2.72,8.01
2021-03-31,24.43,$1.65,14.8
2020-12-31,20.07,$1.28,15.68
2020-09-30,15.63,$1.09,14.34
2020-06-30,16.82,$1.11,15.15
2020-03-31,16.62,$1.71,9.72
2019-12-31,23.34,$1.83,12.75
2019-09-30,22.01,$1.81,12.16
2019-06-30,24.12,$1.75,13.78
2019-03-31,24.46,$1.67,14.65
2018-12-31,23.99,$1.49,16.1
2018-09-30,28.14,$1.27,22.16
2018-06-30,27.78,$1.20,23.15
2018-03-31,24.28,$1.24,19.58
2017-12-31,24.31,$1.28,18.99
2017-09-30,23.11,$1.38,16.75
2017-06-30,20.66,$1.40,14.76
2017-03-31,19.2,$1.31,14.66
2016-12-31,19.88,$1.30,15.29
2016-09-30,13.58,$1.29,10.53
2016-06-30,13.21,$1.24,10.65
2016-03-31,13.11,$1.23,10.66
2015-12-31,13.97,$1.25,11.18
2015-09-30,13.8,$1.17,11.8
2015-06-30,13.02,$1.08,12.06
2015-03-31,12.31,$0.95,12.96
2014-12-31,12.63,$0.79,15.99
2014-09-30,11.23,$0.59,19.04
2014-06-30,11.35,$0.56,20.26
2014-03-31,11.88,$0.58,20.48
2013-12-31,11.94,$0.61,19.58
2013-09-30,10.79,$0.77,14.01
2013-06-30,10.07,$0.76,13.25
2013-03-31,9.91,$0.79,12.54
2012-12-31,9.98,$0.87,11.47
2012-09-30,9.94,$0.81,12.27
2012-06-30,9.45,$0.74,12.77
2012-03-31,8.72,$0.64,13.63
2011-12-31,8.02,$0.42,19.1
2011-09-30,6.87,$1.05,6.54
2011-06-30,8.01,$1.08,7.42
2011-03-31,8.76,$1.02,8.59
2010-12-31,8.61,$1.00,8.61
2010-09-30,8.66,$0.27,32.06
2010-06-30,9.26,$0.12,77.14
2010-03-31,9.33,$0.03,311.01
2009-12-31,8.52,$-0.14,0.0
