Fortis PE Ratio Historical Data,Fortis PE Ratio Historical Data,Fortis PE Ratio Historical Data,Fortis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,45.24,,19.17
2024-12-31,41.57,$2.36,17.61
2024-09-30,44.82,$2.38,18.83
2024-06-30,37.93,$2.36,16.07
2024-03-31,38.18,$2.32,16.46
2023-12-31,39.31,$2.30,17.09
2023-09-30,35.93,$2.29,15.69
2023-06-30,40.33,$2.21,18.25
2023-03-31,39.43,$2.22,17.76
2022-12-31,36.75,$2.13,17.25
2022-09-30,34.5,$2.11,16.35
2022-06-30,42.55,$2.08,20.46
2022-03-31,44.18,$2.06,21.45
2021-12-31,42.68,$2.06,20.72
2021-09-30,38.83,$2.06,18.85
2021-06-30,38.4,$2.04,18.83
2021-03-31,37.31,$2.02,18.47
2020-12-31,34.78,$1.94,17.93
2020-09-30,34.49,$1.97,17.51
2020-06-30,31.85,$1.98,16.09
2020-03-31,31.95,$2.10,15.22
2019-12-31,34.14,$2.14,15.95
2019-09-30,34.49,$2.02,17.08
2019-06-30,31.9,$2.04,15.64
2019-03-31,29.63,$1.94,15.27
2018-12-31,26.47,$2.00,13.23
2018-09-30,25.47,$1.78,14.31
2018-06-30,24.8,$1.81,13.7
2018-03-31,26.01,$1.83,14.21
2017-12-31,27.94,$1.78,15.7
2017-09-30,27.01,$1.91,14.14
