XP PE Ratio Historical Data,XP PE Ratio Historical Data,XP PE Ratio Historical Data,XP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.21,,9.94
2024-09-30,17.08,$1.53,11.16
2024-06-30,16.75,$1.54,10.88
2024-03-31,24.43,$1.52,16.07
2023-12-31,24.82,$1.43,17.36
2023-09-30,21.26,$1.31,16.23
2023-06-30,21.14,$1.26,16.78
2023-03-31,10.69,$1.21,8.84
2022-12-31,13.82,$1.21,11.42
2022-09-30,17.13,$1.26,13.59
2022-06-30,16.18,$1.22,13.26
2022-03-31,27.12,$1.21,22.41
2021-12-31,25.89,$1.16,22.32
2021-09-30,36.19,$1.05,34.47
2021-06-30,39.24,$0.92,42.65
2021-03-31,33.94,$0.79,42.96
2020-12-31,35.74,$0.72,49.64
2020-09-30,37.56,$0.52,72.24
