Community Financial System PE Ratio Historical Data,Community Financial System PE Ratio Historical Data,Community Financial System PE Ratio Historical Data,Community Financial System PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,57.16,,16.62
2024-12-31,61.68,$3.44,17.93
2024-09-30,57.67,$3.21,17.97
2024-06-30,46.52,$3.20,14.54
2024-03-31,46.83,$3.18,14.73
2023-12-31,50.29,$2.53,19.88
2023-09-30,40.39,$2.79,14.48
2023-06-30,44.41,$2.87,15.47
2023-03-31,49.29,$2.71,18.19
2022-12-31,58.64,$3.46,16.95
2022-09-30,55.56,$3.29,16.89
2022-06-30,58.11,$3.22,18.05
2022-03-31,63.97,$3.37,18.98
2021-12-31,67.52,$3.48,19.4
2021-09-30,61.67,$3.54,17.42
2021-06-30,67.75,$3.50,19.36
2021-03-31,68.34,$3.28,20.84
2020-12-31,55.22,$3.07,17.99
2020-09-30,47.95,$3.03,15.83
2020-06-30,49.85,$2.99,16.67
2020-03-31,51.03,$3.19,16.0
2019-12-31,61.13,$3.23,18.93
2019-09-30,52.85,$3.19,16.57
2019-06-30,56.05,$3.27,17.14
2019-03-31,50.59,$3.27,15.47
2018-12-31,49.04,$3.25,15.09
2018-09-30,51.05,$3.87,13.19
2018-06-30,49.09,$3.72,13.2
2018-03-31,44.26,$3.21,13.79
2017-12-31,44.15,$3.00,14.72
2017-09-30,45.08,$2.19,20.59
2017-06-30,45.21,$2.12,21.33
2017-03-31,44.33,$2.35,18.86
2016-12-31,49.54,$2.33,21.26
2016-09-30,38.37,$2.21,17.36
2016-06-30,32.55,$2.20,14.79
2016-03-31,30.04,$2.20,13.65
2015-12-31,31.15,$2.19,14.22
2015-09-30,28.76,$2.28,12.61
2015-06-30,28.97,$2.22,13.05
2015-03-31,26.93,$2.21,12.18
2014-12-31,28.77,$2.21,13.02
2014-09-30,25.15,$2.03,12.39
2014-06-30,26.87,$2.03,13.24
2014-03-31,28.75,$1.98,14.52
2013-12-31,29.02,$1.94,14.96
2013-09-30,24.77,$2.03,12.2
2013-06-30,22.21,$1.95,11.39
2013-03-31,21.13,$1.96,10.78
2012-12-31,19.33,$1.94,9.96
2012-09-30,19.72,$1.98,9.96
2012-06-30,18.79,$2.06,9.12
2012-03-31,19.75,$2.02,9.78
2011-12-31,18.9,$2.02,9.36
2011-09-30,15.27,$1.98,7.71
2011-06-30,16.5,$1.96,8.42
2011-03-31,15.99,$1.96,8.16
2010-12-31,18.11,$1.90,9.53
2010-09-30,14.87,$1.72,8.65
2010-06-30,14.09,$1.58,8.92
2010-03-31,14.41,$1.37,10.52
2009-12-31,12.1,$1.27,9.53
