Redhill Biopharma PE Ratio Historical Data,Redhill Biopharma PE Ratio Historical Data,Redhill Biopharma PE Ratio Historical Data,Redhill Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.8,,0.0
2024-06-30,9.27,$-760.00,0.0
2022-12-31,140.3,"$-1,060.00",0.0
2022-09-30,502.5,"$-1,560.00",0.0
2022-06-30,870.0,"$-1,460.00",0.0
2022-03-31,2520.0,"$-1,880.00",0.0
2021-12-31,2580.0,"$-2,110.00",0.0
2021-09-30,4580.0,"$-2,310.00",0.0
2021-06-30,6880.0,"$-2,350.00",0.0
2021-03-31,7320.0,"$-2,180.00",0.0
2020-12-31,8080.0,"$-2,140.00",0.0
2020-09-30,10220.0,"$-1,740.00",0.0
2020-06-30,6700.0,"$-1,540.00",0.0
2020-03-31,4530.0,"$-1,470.00",0.0
2019-12-31,6070.0,"$-1,330.00",0.0
2019-09-30,7040.0,"$-1,370.00",0.0
2019-06-30,6500.0,"$-1,470.00",0.0
2019-03-31,8310.0,"$-1,610.00",0.0
2018-12-31,5550.0,"$-1,760.00",0.0
2018-09-30,8830.0,"$-1,920.00",0.0
2018-06-30,8530.0,"$-2,420.00",0.0
2018-03-31,5150.0,"$-2,500.00",0.0
2017-12-31,5140.0,"$-2,500.00",0.0
2017-09-30,10810.0,"$-2,700.00",0.0
2017-06-30,8620.0,"$-2,500.00",0.0
2017-03-31,9590.0,"$-2,500.00",0.0
2016-12-31,10460.0,"$-2,430.00",0.0
2016-09-30,13890.0,"$-2,230.00",0.0
2016-06-30,10865.0,"$-1,930.00",0.0
2016-03-31,12250.0,"$-1,990.00",0.0
2015-12-31,12880.0,"$-2,060.00",0.0
2015-09-30,12910.0,"$-2,160.00",0.0
2015-06-30,17610.0,"$-2,260.00",0.0
2015-03-31,14550.0,"$-2,120.00",0.0
2014-12-31,13330.0,"$-1,230.00",0.0
2014-09-30,13170.0,"$-1,130.00",0.0
2014-06-30,17490.0,"$-1,060.00",0.0
2014-03-31,14090.1,$-940.00,0.0
2013-12-31,11800.0,"$-1,630.00",0.0
