Anebulo Pharmaceuticals PE Ratio Historical Data,Anebulo Pharmaceuticals PE Ratio Historical Data,Anebulo Pharmaceuticals PE Ratio Historical Data,Anebulo Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.98,,0.0
2024-12-31,1.68,$-0.28,0.0
2024-09-30,1.93,$-0.30,0.0
2024-06-30,2.73,$-0.32,0.0
2024-03-31,2.87,$-0.37,0.0
2023-12-31,2.42,$-0.42,0.0
2023-09-30,3.06,$-0.46,0.0
2023-06-30,2.35,$-0.47,0.0
2023-03-31,2.9,$-0.47,0.0
2022-12-31,2.42,$-0.44,0.0
2022-09-30,2.8,$-0.34,0.0
2022-06-30,5.2,$-0.30,0.0
2022-03-31,7.08,$-1.79,0.0
