Conifer Holdings PE Ratio Historical Data,Conifer Holdings PE Ratio Historical Data,Conifer Holdings PE Ratio Historical Data,Conifer Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.73,,0.3
2024-09-30,1.09,$2.42,0.45
2024-06-30,0.77,$-2.12,0.0
2024-03-31,1.13,$-2.19,0.0
2023-12-31,1.1,$-2.12,0.0
2023-09-30,1.15,$-0.36,0.0
2023-06-30,1.7,$-0.28,0.0
2023-03-31,1.51,$-0.75,0.0
2022-12-31,1.57,$-1.13,0.0
2022-09-30,1.61,$-1.38,0.0
2022-06-30,1.56,$-1.36,0.0
2022-03-31,2.38,$0.07,34.0
2021-12-31,2.32,$-0.11,0.0
2021-09-30,2.88,$0.31,9.29
2021-06-30,2.91,$0.49,5.94
2021-03-31,3.75,$0.08,46.88
2020-12-31,3.29,$0.07,47.0
2020-09-30,2.88,$-0.59,0.0
2020-06-30,2.73,$-0.78,0.0
2020-03-31,3.0,$-1.28,0.0
2019-12-31,4.0,$-0.87,0.0
2019-09-30,3.66,$-1.11,0.0
2019-06-30,3.99,$-1.40,0.0
2019-03-31,4.52,$-1.19,0.0
2018-12-31,3.5,$-1.09,0.0
2018-09-30,5.65,$-0.50,0.0
2018-06-30,6.3,$-2.54,0.0
2018-03-31,5.85,$-2.55,0.0
2017-12-31,5.8,$-2.81,0.0
2017-09-30,6.06,$-3.42,0.0
2017-06-30,6.9,$-1.15,0.0
2017-03-31,7.3,$-1.08,0.0
2016-12-31,8.15,$-1.11,0.0
2016-09-30,8.33,$-0.83,0.0
2016-06-30,6.94,$-0.43,0.0
