Oxbridge Re Holdings PE Ratio Historical Data,Oxbridge Re Holdings PE Ratio Historical Data,Oxbridge Re Holdings PE Ratio Historical Data,Oxbridge Re Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.34,,0.0
2024-09-30,2.78,$-0.84,0.0
2024-06-30,2.38,$-1.99,0.0
2024-03-31,1.06,$-1.86,0.0
2023-12-31,1.1,$-1.69,0.0
2023-09-30,1.4,$-1.11,0.0
2023-06-30,1.8,$-0.24,0.0
2023-03-31,1.75,$-0.22,0.0
2022-12-31,1.2,$-0.31,0.0
2022-09-30,2.13,$-0.16,0.0
2022-06-30,3.34,$1.35,2.47
2022-03-31,5.47,$1.42,3.85
2021-12-31,5.62,$1.49,3.77
2021-09-30,2.95,$1.25,2.36
2021-06-30,2.62,$0.10,26.2
2021-03-31,2.53,$0.05,50.6
2020-12-31,1.87,$-0.01,0.0
2020-09-30,1.76,$-0.03,0.0
2020-06-30,1.4,$-0.02,0.0
2020-03-31,0.87,$-0.09,0.0
2019-12-31,0.75,$-0.04,0.0
2019-09-30,0.83,$-1.18,0.0
2019-06-30,1.16,$-1.07,0.0
2019-03-31,1.1,$-0.98,0.0
2018-12-31,0.63,$-1.01,0.0
2018-09-30,1.85,$0.12,15.42
2018-06-30,1.75,$-3.96,0.0
2018-03-31,2.25,$-3.82,0.0
2017-12-31,2.15,$-3.56,0.0
2017-09-30,3.9,$-3.95,0.0
2017-06-30,5.52,$0.52,10.62
2017-03-31,6.28,$0.47,13.36
2016-12-31,5.64,$0.42,13.42
2016-09-30,4.6,$0.87,5.29
2016-06-30,4.52,$0.49,9.23
2016-03-31,4.49,$0.62,7.24
2015-12-31,4.9,$0.75,6.54
2015-09-30,5.02,$0.97,5.18
2015-06-30,4.99,$1.08,4.62
2015-03-31,4.78,$0.90,5.31
2014-12-31,4.65,$0.88,5.29
