Analog Devices PE Ratio Historical Data,Analog Devices PE Ratio Historical Data,Analog Devices PE Ratio Historical Data,Analog Devices PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,205.9,,65.57
2025-01-31,211.89,$3.14,67.48
2024-10-31,222.18,$3.29,67.53
2024-07-31,229.45,$3.33,68.9
2024-04-30,198.14,$4.28,46.3
2024-01-31,189.1,$5.59,33.83
2023-10-31,153.94,$6.54,23.54
2023-07-31,194.32,$7.36,26.4
2023-04-30,174.35,$7.06,24.69
2023-01-31,165.42,$6.63,24.95
2022-10-31,136.97,$5.28,25.94
2022-07-31,164.34,$3.62,45.4
2022-04-30,146.87,$3.53,41.61
2022-01-31,155.26,$3.18,48.82
2021-10-31,163.65,$3.69,44.35
2021-07-31,157.27,$4.57,34.41
2021-04-30,143.27,$4.19,34.19
2021-01-31,137.2,$3.77,36.39
2020-10-31,109.89,$3.28,33.5
2020-07-31,105.93,$2.98,35.55
2020-04-30,100.53,$2.98,33.73
2020-01-31,100.09,$3.24,30.89
2019-10-31,96.78,$3.64,26.59
2019-07-31,106.09,$4.05,26.19
2019-04-30,104.41,$4.18,24.98
2019-01-31,88.35,$4.21,20.99
2018-10-31,74.42,$3.97,18.75
2018-07-31,85.06,$3.75,22.68
2018-04-30,76.92,$2.83,27.18
2018-01-31,80.49,$2.09,38.51
2017-10-31,79.57,$2.07,38.44
2017-07-31,68.48,$2.09,32.76
2017-04-30,65.67,$2.65,24.78
2017-01-31,64.24,$2.93,21.92
2016-10-31,54.64,$2.76,19.8
2016-07-31,54.04,$2.11,25.61
2016-04-30,47.34,$2.05,23.09
2016-01-31,44.91,$2.15,20.89
2015-10-31,49.8,$2.20,22.64
2015-07-31,47.97,$2.24,21.41
2015-04-30,50.56,$2.13,23.74
2015-01-31,42.31,$2.07,20.44
2014-10-31,40.03,$1.98,20.22
2014-07-31,39.75,$2.28,17.43
2014-04-30,40.79,$2.27,17.97
2014-01-31,38.11,$2.20,17.32
2013-10-31,38.65,$2.14,18.06
2013-07-31,38.43,$2.08,18.48
2013-04-30,33.98,$2.08,16.34
2013-01-31,33.46,$2.09,16.01
2012-10-31,29.78,$2.13,13.98
2012-07-31,29.52,$2.15,13.73
2012-04-30,29.2,$2.30,12.7
2012-01-31,29.09,$2.55,11.41
2011-10-31,26.99,$2.81,9.61
2011-07-31,25.2,$2.94,8.57
2011-04-30,29.34,$2.88,10.19
2011-01-31,28.11,$2.65,10.61
2010-10-31,24.23,$2.33,10.4
2010-07-31,21.22,$1.96,10.82
2010-04-30,21.21,$1.53,13.86
2010-01-31,18.98,$1.16,16.36
2009-10-31,17.92,$0.85,21.08
